Index;Server Code;Client Code;English Name;Image ID
0;iabba01;C1010001;Fire Parsal AppendixA;1
1;iabba02;C1010002;Fire Parsal AppendixB;1
2;iabba03;C1010003;Fire Parsal AppendixC;1
3;iabba04;C1010004;Fire Parsal AppendixD;1
4;iabba05;C1010005;Fire Parsal AppendixE;1
5;iabba06;C1010006;Fire Parsal AppendixF;1
6;iabba07;C1010007;Fire Parsal AppendixG;1
7;iabba08;C1010008;Aqua Parsal AppendixA;2
8;iabba09;C1010009;Aqua Parsal AppendixB;2
9;iabba10;C1010010;Aqua Parsal AppendixC;2
10;iabba11;C1010011;Aqua Parsal AppendixD;2
11;iabba12;C1010012;Aqua Parsal AppendixE;2
12;iabba13;C1010013;Aqua Parsal AppendixF;2
13;iabba14;C1010014;Aqua Parsal AppendixG;2
14;iabba15;C1010015;Tera Parsal AppendixA;3
15;iabba16;C1010016;Tera Parsal AppendixB;3
16;iabba17;C1010017;Tera Parsal AppendixC;3
17;iabba18;C1010018;Tera Parsal AppendixD;3
18;iabba19;C1010019;Tera Parsal AppendixE;3
19;iabba20;C1010020;Tera Parsal AppendixF;3
20;iabba21;C1010021;Tera Parsal AppendixG;3
21;iabba22;C1010022;Wind Parsal AppendixA;4
22;iabba23;C1010023;Wind Parsal AppendixB;4
23;iabba24;C1010024;Wind Parsal AppendixC;4
24;iabba25;C1010025;Wind Parsal AppendixD;4
25;iabba26;C1010026;Wind Parsal AppendixE;4
26;iabba27;C1010027;Wind Parsal AppendixF;4
27;iabba28;C1010028;Wind Parsal AppendixG;4
28;iabba29;C1010029;Fire Spirit AppendixA;5
29;iabba30;C1010030;Fire Spirit AppendixB;5
30;iabba31;C1010031;Fire Spirit AppendixC;5
31;iabba32;C1010032;Fire Spirit AppendixD;5
32;iabba33;C1010033;Fire Spirit AppendixE;5
33;iabba34;C1010034;Fire Spirit AppendixF;5
34;iabba35;C1010035;Fire Spirit AppendixG;5
35;iabba36;C1010036;Aqua Mind AppendixA;10
36;iabba37;C1010037;Aqua Mind AppendixB;10
37;iabba38;C1010038;Aqua Mind AppendixC;10
38;iabba39;C1010039;Aqua Mind AppendixD;10
39;iabba40;C1010040;Aqua Mind AppendixE;10
40;iabba41;C1010041;Aqua Mind AppendixF;10
41;iabba42;C1010042;Aqua Mind AppendixG;10
42;iabba43;C1010043;Fire Mind AppendixA;9
43;iabba44;C1010044;Fire Mind AppendixB;9
44;iabba45;C1010045;Fire Mind AppendixC;9
45;iabba46;C1010046;Fire Mind AppendixD;9
46;iabba47;C1010047;Fire Mind AppendixE;9
47;iabba48;C1010048;Fire Mind AppendixF;9
48;iabba49;C1010049;Fire Mind AppendixG;9
49;iabba50;C1010050;Tera Mind AppendixA;11
50;iabba51;C1010051;Tera Mind AppendixB;11
51;iabba52;C1010052;Tera Mind AppendixC;11
