Index;Server Code;Client Code;English Name;Image ID
0;itttt00;D3131300;Training Mining Tool Battery [S];1
1;itttt01;D3131301;Mining Tool Battery [S];1
2;itttt02;D3131302;Mining Tool Battery [M];2
3;itttt03;D3131303;Mining Tool Battery [L];3
4;ittwe01;D3160401;ChunjangZoneBattery;4
5;itdbr01;C3011101;Fullmoon Large Mining Battery;4
6;itttt04;D3131304;UMT Battery [S];5
7;itttt05;D3131305;UMT Battery [M];6
8;itcsa01;C2120001;UMT Battery [L];7
9;itcsa02;C2120002;Unmanned Mining Tool Battery[Extra-Large];8
