Index;Server Code;Client Code;English Name;Image ID
0;iyyyy01;D8181801;Cling;1
1;iyyyy02;D8181802;Haren;2
2;iyyyy03;D8181803;Greaf;3
3;iyyyy04;D8181804;Rian;4
4;iyyyy05;D8181805;Mika;5
5;iyyyy06;D8181806;Louis Mika;6
6;iyyyy07;D8181807;Mid Mika;7
7;iyyyy08;D8181808;Wief;8
8;iyyyy09;D8181809;Cell Wief;9
9;iyyyy10;D8181810;Ward Wief;10
10;iyyyy11;D8181811;Lake;11
11;iyyyy12;D8181812;Riar;12
12;iyyyy13;D8181813;Jem Riar;13
13;iyyyy14;D8181814;Jemz Riar;14
14;iyyyy15;D8181815;Jim;15
15;iyyyy16;D8181816;Zid;16
16;iyyyy17;D8181817;Sol Zid;17
17;iyyyy18;D8181818;High Zid;18
18;iyyyy19;D8181819;Warm;19
19;iyyyy20;D8181820;BliDend;20
20;iyyyy21;D8181821;Ply BliDend;21
21;iyyyy22;D8181822;Siar BliDend;22
22;iyyyy23;D8181823;Gli;23
23;iyyyy24;D8181824;Beam;24
24;iyyyy25;D8181825;Silver catalyst;25
25;iyyyy26;D8181826;Gold catalyst;26
26;iyeee01;C4040401;1 Gift Point;78
27;iyeee02;C4040402;2 Gift Point;79
28;iyeee03;C4040403;3 Gift Point;80
29;iyeee04;C4040404;4 Gift Point;81
30;iyeee05;C4040405;5 Gift Point;82
31;iyeee06;C4040406;Lord Master's Badge;78
32;iyeee07;C4040407;Lord Master's Certificate;79
33;iyeee08;C4040408;Lord Master's Token;80
34;iyeee09;C4040409;Lord Master's Passion;81
35;iyeee10;C4040410;Lord Master's Amulet;82
36;iyeee11;C4040411;GS eShop;78
37;iyeee12;C4040412;GS eShop;79
38;iyeee13;C4040413;GS eShop;80
39;iyeee14;C4040414;GS eShop;81
40;iyeee15;C4040415;GS eShop;82
41;iyeee16;C4040416;GS eShop;78
42;iyeee17;C4040417;GS eShop;79
43;iyeee18;C4040418;GS eShop;80
44;iyeee19;C4040419;GS eShop;81
45;iyeee20;C4040420;GS eShop;82
46;iyeee21;C4040421;GS eShop;78
47;iyeee22;C4040422;GS eShop;79
48;iyeee23;C4040423;GS eShop;80
49;iyeee24;C4040424;GS eShop;81
50;iyeee25;C4040425;GS eShop;82
51;iyeee26;C4040426;GS eShop;78
52;iyeee27;C4040427;GS eShop;79
53;iyeee28;C4040428;GS eShop;80
54;iyeee29;C4040429;GS eShop;81
55;iyeee30;C4040430;GS eShop;82
56;iytwe01;D3160401;?????;27
57;iytwe02;D3160402;?????;28
58;iybla01;C10B0001;Black ExcelSiar A;29
59;iybla02;C10B0002;Black ExcelSiar B;30
60;iybla03;C10B0003;Black ExcelSiar C;31
61;iyred01;D1040301;Red ExcelSiar A;32
62;iyred02;D1040302;Red ExcelSiar B;33
63;iyred03;D1040303;Red ExcelSiar C;34
64;iyblu01;C10B1401;Blue ExcelSiar A;35
65;iyblu02;C10B1402;Blue ExcelSiar B;36
66;iyblu03;C10B1403;Blue ExcelSiar C;37
67;iygre01;C6110401;Green ExcelSiar A;38
68;iygre02;C6110402;Green ExcelSiar B;39
69;iygre03;C6110403;Green ExcelSiar C;40
70;iyyel01;D8040B01;Yellow ExcelSiar A;41
71;iyyel02;D8040B02;Yellow ExcelSiar B;42
72;iyyel03;D8040B03;Yellow ExcelSiar C;43
73;iypur01;CF141101;Purple ExcelSiar A;44
74;iypur02;CF141102;Purple ExcelSiar B;45
75;iypur03;CF141103;Purple ExcelSiar C;46
76;iywhi01;D6070801;White ExcelSiar A;47
77;iywhi02;D6070802;White ExcelSiar B;48
78;iywhi03;D6070803;White ExcelSiar C;49
79;iybrw01;C1111601;Brown ExcelSiar A;50
80;iybrw02;C1111602;Brown ExcelSiar B;51
81;iybrw03;C1111603;Brown ExcelSiar C;52
82;iyolv01;CE0B1501;Olive ExcelSiar A;53
83;iyolv02;CE0B1502;Olive ExcelSiar B;54
84;iyolv03;CE0B1503;Olive ExcelSiar C;55
85;iynav01;CD001501;Navy ExcelSiar A;56
86;iynav02;CD001502;Navy ExcelSiar B;57
87;iynav03;CD001503;Navy ExcelSiar C;58
88;iyxma01;D70C0001;Red Socks;59
89;iygra01;C6110001;Gravity Stone;27
90;iyaop01;C00E0F01;Wind Ability Reaver;60
91;iybop01;C10E0F01;Endurance Ability Reaver;61
92;iycop01;C20E0F01;Fine Ability Reaver;62
93;iydop01;C30E0F01;Smart Ability Reaver;63
94;iyeop01;C40E0F01;Strong Ability Reaver;64
95;iyfop01;C50E0F01;Solid Ability Reaver;65
96;iygop01;C60E0F01;Strength Ability Reaver;66
97;iyhop01;C70E0F01;Advanced Strength Reaver;67
98;iyiop01;C80E0F01;Vampire Ability Reaver;68
99;iyjop01;C90E0F01;Guardian Ability Reaver;69
100;iykop01;CA0E0F01;Sharp Ability Reaver;70
101;iylop01;CB0E0F01;Grand Ability Reaver;71
102;iyext01;C4171301;Ability Extracter;72
103;iymer01;CC041101;Ability Combiner;73
104;iymer02;CC041102;Ability Combiner Special;74
105;iyjpb01;C90F0101;Premium Ticket Lv1;75
106;iyjpb02;C90F0102;Premium Ticket Lv43;76
107;iyjpc01;C90F0201;Premium Ticket Lv1;75
108;iyjpc02;C90F0202;Premium Ticket Lv43;76
109;iyjpa01;C90F0001;Premium Ticket Lv1;75
110;iyjpa02;C90F0002;Premium Ticket Lv43;76
111;iydbr01;C3011101;Broken Walnut;77
112;iycra01;C2110001;Hammer;78
113;iymop01;CC0E0F01;Anti-Sharp Ability Reaver;152
114;iynop01;CD0E0F01;Saving Ability Reaver;153
115;iyoop01;CE0E0F01;Protection Ability Reaver;154
116;iyscr01;D2021101;Warrior's Witness;151
117;iyfok01;C50E0A01;Leon Gun Blade Piece1;79
118;iyfok02;C50E0A02;Leon Gun Blade Piece2;80
119;iyfok03;C50E0A03;Leon Gun Blade Piece3;81
120;iyfok04;C50E0A04;Leon Gun Blade Piece4;82
121;iyffk01;C5050A01;Leon Sickle Knife Piece1;83
122;iyffk02;C5050A02;Leon Sickle Knife Piece2;84
123;iyffk03;C5050A03;Leon Sickle Knife Piece3;85
124;iyffk04;C5050A04;Leon Sickle Knife Piece4;86
125;iyfik01;C5080A01;Leon Hora Knife Piece1;87
126;iyfik02;C5080A02;Leon Hora Knife Piece2;88
127;iyfik03;C5080A03;Leon Hora Knife Piece3;89
128;iyfik04;C5080A04;Leon Hora Knife Piece4;90
129;iyfos01;C50E1201;Leon Lance Piece1;91
130;iyfos02;C50E1202;Leon Lance Piece2;92
131;iyfos03;C50E1203;Leon Lance Piece3;93
132;iyfos04;C50E1204;Leon Lance Piece4;94
133;iyffs01;C5051201;Leon Field Lance Piece1;95
134;iyffs02;C5051202;Leon Field Lance Piece2;96
135;iyffs03;C5051203;Leon Field Lance Piece3;97
136;iyffs04;C5051204;Leon Field Lance Piece4;98
137;iyfis01;C5081201;Leon Hora Spear Piece1;99
138;iyfis02;C5081202;Leon Hora Spear Piece2;100
139;iyfis03;C5081203;Leon Hora Spear Piece3;101
140;iyfis04;C5081204;Leon Hora Spear Piece4;102
141;iyfot01;C50E1301;Leon Black Stick Bead Piece1;103
142;iyfot02;C50E1302;Leon Black Stick Bead Piece2;104
143;iyfot03;C50E1303;Leon Black Stick Bead Piece3;105
144;iyfot04;C50E1304;Leon Black Stick Bead Piece4;106
145;iyfft01;C5051301;Leon Sickle Staff Piece1;107
146;iyfft02;C5051302;Leon Sickle Staff Piece2;108
147;iyfft03;C5051303;Leon Sickle Staff Piece3;109
148;iyfft04;C5051304;Leon Sickle Staff Piece4;110
149;iyfit01;C5081301;Leon Hora Staff Piece1;111
150;iyfit02;C5081302;Leon Hora Staff Piece2;112
151;iyfit03;C5081303;Leon Hora Staff Piece3;113
152;iyfit04;C5081304;Leon Hora Staff Piece4;114
153;iyfob01;C50E0101;Leon Beam Siege Bow Piece1;115
154;iyfob02;C50E0102;Leon Beam Siege Bow Piece2;116
155;iyfob03;C50E0103;Leon Beam Siege Bow Piece3;117
156;iyfob04;C50E0104;Leon Beam Siege Bow Piece4;118
157;iyffb01;C5050101;Leon Beam Gun Bow Piece1;119
158;iyffb02;C5050102;Leon Beam Gun Bow Piece2;120
159;iyffb03;C5050103;Leon Beam Gun Bow Piece3;121
160;iyffb04;C5050104;Leon Beam Gun Bow Piece4;122
161;iyfib01;C5080101;Leon Hora Bow Piece1;123
162;iyfib02;C5080102;Leon Hora Bow Piece2;124
163;iyfib03;C5080103;Leon Hora Bow Piece3;125
164;iyfib04;C5080104;Leon Hora Bow Piece4;126
165;iyfog01;C50E0601;Leon Bolt Rifle Piece1;127
166;iyfog02;C50E0602;Leon Bolt Rifle Piece2;128
167;iyfog03;C50E0603;Leon Bolt Rifle Piece3;129
168;iyfog04;C50E0604;Leon Bolt Rifle Piece4;130
169;iyffg01;C5050601;Leon Vulcan Piece1;131
170;iyffg02;C5050602;Leon Vulcan Piece2;132
171;iyffg03;C5050603;Leon Vulcan Piece3;133
172;iyffg04;C5050604;Leon Vulcan Piece4;134
173;iyfig01;C5080601;Leon Hora Vulcan Piece1;135
174;iyfig02;C5080602;Leon Hora Vulcan Piece2;136
175;iyfig03;C5080603;Leon Hora Vulcan Piece3;137
176;iyfig04;C5080604;Leon Hora Vulcan Piece4;138
177;iyfol01;C50E0B01;Leon Thrower Piece1;139
178;iyfol02;C50E0B02;Leon Thrower Piece2;140
179;iyfol03;C50E0B03;Leon Thrower Piece3;141
180;iyfol04;C50E0B04;Leon Thrower Piece4;142
181;iyffl01;C5050B01;Leon Missile Launcher Piece1;143
182;iyffl02;C5050B02;Leon Missile Launcher Piece2;144
183;iyffl03;C5050B03;Leon Missile Launcher Piece3;145
184;iyffl04;C5050B04;Leon Missile Launcher Piece4;146
185;iyfil01;C5080B01;Leon Hora Faust Piece1;147
186;iyfil02;C5080B02;Leon Hora Faust Piece2;148
187;iyfil03;C5080B03;Leon Hora Faust Piece3;149
188;iyfil04;C5080B04;Leon Hora Faust Piece4;150
189;iyfok11;C50E0A11;Leon Gun Blade Piece1;79
190;iyfok12;C50E0A12;Leon Gun Blade Piece2;80
191;iyfok13;C50E0A13;Leon Gun Blade Piece3;81
192;iyfok14;C50E0A14;Leon Gun Blade Piece4;82
193;iyffk11;C5050A11;Leon Sickle Knife Piece1;83
194;iyffk12;C5050A12;Leon Sickle Knife Piece2;84
195;iyffk13;C5050A13;Leon Sickle Knife Piece3;85
196;iyffk14;C5050A14;Leon Sickle Knife Piece4;86
197;iyfik11;C5080A11;Leon Hora Knife Piece1;87
198;iyfik12;C5080A12;Leon Hora Knife Piece2;88
199;iyfik13;C5080A13;Leon Hora Knife Piece3;89
200;iyfik14;C5080A14;Leon Hora Knife Piece4;90
201;iyfos11;C50E1211;Leon Lance Piece1;91
202;iyfos12;C50E1212;Leon Lance Piece2;92
203;iyfos13;C50E1213;Leon Lance Piece3;93
204;iyfos14;C50E1214;Leon Lance Piece4;94
205;iyffs11;C5051211;Leon Field Lance Piece1;95
206;iyffs12;C5051212;Leon Field Lance Piece2;96
207;iyffs13;C5051213;Leon Field Lance Piece3;97
208;iyffs14;C5051214;Leon Field Lance Piece4;98
209;iyfis11;C5081211;Leon Hora Spear Piece1;99
210;iyfis12;C5081212;Leon Hora Spear Piece2;100
211;iyfis13;C5081213;Leon Hora Spear Piece3;101
212;iyfis14;C5081214;Leon Hora Spear Piece4;102
213;iyfot11;C50E1311;Leon Black Stick Bead Piece1;103
214;iyfot12;C50E1312;Leon Black Stick Bead Piece2;104
215;iyfot13;C50E1313;Leon Black Stick Bead Piece3;105
216;iyfot14;C50E1314;Leon Black Stick Bead Piece4;106
217;iyfft11;C5051311;Leon Sickle Staff Piece1;107
218;iyfft12;C5051312;Leon Sickle Staff Piece2;108
219;iyfft13;C5051313;Leon Sickle Staff Piece3;109
220;iyfft14;C5051314;Leon Sickle Staff Piece4;110
221;iyfit11;C5081311;Leon Hora Staff Piece1;111
222;iyfit12;C5081312;Leon Hora Staff Piece2;112
223;iyfit13;C5081313;Leon Hora Staff Piece3;113
224;iyfit14;C5081314;Leon Hora Staff Piece4;114
225;iyfob11;C50E0111;Leon Beam Siege Bow Piece1;115
226;iyfob12;C50E0112;Leon Beam Siege Bow Piece2;116
227;iyfob13;C50E0113;Leon Beam Siege Bow Piece3;117
228;iyfob14;C50E0114;Leon Beam Siege Bow Piece4;118
229;iyffb11;C5050111;Leon Beam Gun Bow Piece1;119
230;iyffb12;C5050112;Leon Beam Gun Bow Piece2;120
231;iyffb13;C5050113;Leon Beam Gun Bow Piece3;121
232;iyffb14;C5050114;Leon Beam Gun Bow Piece4;122
233;iyfib11;C5080111;Leon Hora Bow Piece1;123
234;iyfib12;C5080112;Leon Hora Bow Piece2;124
235;iyfib13;C5080113;Leon Hora Bow Piece3;125
236;iyfib14;C5080114;Leon Hora Bow Piece4;126
237;iyfog11;C50E0611;Leon Bolt Rifle Piece1;127
238;iyfog12;C50E0612;Leon Bolt Rifle Piece2;128
239;iyfog13;C50E0613;Leon Bolt Rifle Piece3;129
240;iyfog14;C50E0614;Leon Bolt Rifle Piece4;130
241;iyffg11;C5050611;Leon Vulcan Piece1;131
242;iyffg12;C5050612;Leon Vulcan Piece2;132
243;iyffg13;C5050613;Leon Vulcan Piece3;133
244;iyffg14;C5050614;Leon Vulcan Piece4;134
245;iyfig11;C5080611;Leon Hora Vulcan Piece1;135
246;iyfig12;C5080612;Leon Hora Vulcan Piece2;136
247;iyfig13;C5080613;Leon Hora Vulcan Piece3;137
248;iyfig14;C5080614;Leon Hora Vulcan Piece4;138
249;iyfol11;C50E0B11;Leon Thrower Piece1;139
250;iyfol12;C50E0B12;Leon Thrower Piece2;140
251;iyfol13;C50E0B13;Leon Thrower Piece3;141
252;iyfol14;C50E0B14;Leon Thrower Piece4;142
253;iyffl11;C5050B11;Leon Missile Launcher Piece1;143
254;iyffl12;C5050B12;Leon Missile Launcher Piece2;144
255;iyffl13;C5050B13;Leon Missile Launcher Piece3;145
256;iyffl14;C5050B14;Leon Missile Launcher Piece4;146
257;iyfil11;C5080B11;Leon Hora Faust Piece1;147
258;iyfil12;C5080B12;Leon Hora Faust Piece2;148
259;iyfil13;C5080B13;Leon Hora Faust Piece3;149
260;iyfil14;C5080B14;Leon Hora Faust Piece4;150
261;iyfok21;C50E0A21;Leon Gun Blade Piece1;79
262;iyfok22;C50E0A22;Leon Gun Blade Piece2;80
263;iyfok23;C50E0A23;Leon Gun Blade Piece3;81
264;iyfok24;C50E0A24;Leon Gun Blade Piece4;82
265;iyffk21;C5050A21;Leon Sickle Knife Piece1;83
266;iyffk22;C5050A22;Leon Sickle Knife Piece2;84
267;iyffk23;C5050A23;Leon Sickle Knife Piece3;85
268;iyffk24;C5050A24;Leon Sickle Knife Piece4;86
269;iyfik21;C5080A21;Leon Hora Knife Piece1;87
270;iyfik22;C5080A22;Leon Hora Knife Piece2;88
271;iyfik23;C5080A23;Leon Hora Knife Piece3;89
272;iyfik24;C5080A24;Leon Hora Knife Piece4;90
273;iyfos21;C50E1221;Leon Lance Piece1;91
274;iyfos22;C50E1222;Leon Lance Piece2;92
275;iyfos23;C50E1223;Leon Lance Piece3;93
276;iyfos24;C50E1224;Leon Lance Piece4;94
277;iyffs21;C5051221;Leon Field Lance Piece1;95
278;iyffs22;C5051222;Leon Field Lance Piece2;96
279;iyffs23;C5051223;Leon Field Lance Piece3;97
280;iyffs24;C5051224;Leon Field Lance Piece4;98
281;iyfis21;C5081221;Leon Hora Spear Piece1;99
282;iyfis22;C5081222;Leon Hora Spear Piece2;100
283;iyfis23;C5081223;Leon Hora Spear Piece3;101
284;iyfis24;C5081224;Leon Hora Spear Piece4;102
285;iyfot21;C50E1321;Leon Black Stick Bead Piece1;103
286;iyfot22;C50E1322;Leon Black Stick Bead Piece2;104
287;iyfot23;C50E1323;Leon Black Stick Bead Piece3;105
288;iyfot24;C50E1324;Leon Black Stick Bead Piece4;106
289;iyfft21;C5051321;Leon Sickle Staff Piece1;107
290;iyfft22;C5051322;Leon Sickle Staff Piece2;108
291;iyfft23;C5051323;Leon Sickle Staff Piece3;109
292;iyfft24;C5051324;Leon Sickle Staff Piece4;110
293;iyfit21;C5081321;Leon Hora Staff Piece1;111
294;iyfit22;C5081322;Leon Hora Staff Piece2;112
295;iyfit23;C5081323;Leon Hora Staff Piece3;113
296;iyfit24;C5081324;Leon Hora Staff Piece4;114
297;iyfob21;C50E0121;Leon Beam Siege Bow Piece1;115
298;iyfob22;C50E0122;Leon Beam Siege Bow Piece2;116
299;iyfob23;C50E0123;Leon Beam Siege Bow Piece3;117
300;iyfob24;C50E0124;Leon Beam Siege Bow Piece4;118
301;iyffb21;C5050121;Leon Beam Gun Bow Piece1;119
302;iyffb22;C5050122;Leon Beam Gun Bow Piece2;120
303;iyffb23;C5050123;Leon Beam Gun Bow Piece3;121
304;iyffb24;C5050124;Leon Beam Gun Bow Piece4;122
305;iyfib21;C5080121;Leon Hora Bow Piece1;123
306;iyfib22;C5080122;Leon Hora Bow Piece2;124
307;iyfib23;C5080123;Leon Hora Bow Piece3;125
308;iyfib24;C5080124;Leon Hora Bow Piece4;126
309;iyfog21;C50E0621;Leon Bolt Rifle Piece1;127
310;iyfog22;C50E0622;Leon Bolt Rifle Piece2;128
311;iyfog23;C50E0623;Leon Bolt Rifle Piece3;129
312;iyfog24;C50E0624;Leon Bolt Rifle Piece4;130
313;iyffg21;C5050621;Leon Vulcan Piece1;131
314;iyffg22;C5050622;Leon Vulcan Piece2;132
315;iyffg23;C5050623;Leon Vulcan Piece3;133
316;iyffg24;C5050624;Leon Vulcan Piece4;134
317;iyfig21;C5080621;Leon Hora Vulcan Piece1;135
318;iyfig22;C5080622;Leon Hora Vulcan Piece2;136
319;iyfig23;C5080623;Leon Hora Vulcan Piece3;137
320;iyfig24;C5080624;Leon Hora Vulcan Piece4;138
321;iyfol21;C50E0B21;Leon Thrower Piece1;139
322;iyfol22;C50E0B22;Leon Thrower Piece2;140
323;iyfol23;C50E0B23;Leon Thrower Piece3;141
324;iyfol24;C50E0B24;Leon Thrower Piece4;142
325;iyffl21;C5050B21;Leon Missile Launcher Piece1;143
326;iyffl22;C5050B22;Leon Missile Launcher Piece2;144
327;iyffl23;C5050B23;Leon Missile Launcher Piece3;145
328;iyffl24;C5050B24;Leon Missile Launcher Piece4;146
329;iyfil21;C5080B21;Leon Hora Faust Piece1;147
330;iyfil22;C5080B22;Leon Hora Faust Piece2;148
331;iyfil23;C5080B23;Leon Hora Faust Piece3;149
332;iyfil24;C5080B24;Leon Hora Faust Piece4;150
333;iyset01;D2041301;Perdion Helmet Gilded Stone<A>;155
334;iyset02;D2041302;Perdion Helmet Magical Stone<B>;156
335;iyset03;D2041303;Perdion Helmet Abradant<C>;157
336;iyset04;D2041304;Perdion Helmet Recipe<D>;158
337;iyset05;D2041305;Perdion Shirts Gilded Stone<A>;159
338;iyset06;D2041306;Perdion Shirts Magical Stone<B>;160
339;iyset07;D2041307;Perdion Shirts Abradant<C>;161
