Index;Server Code;Client Code;English Name
0;bxlow01;5B0E1601;Bamboo in a Lover
1;bxchr01;52071101;Small GiftBox
2;bxchr02;52071102;GiftBox
3;bxchr03;52071103;Big GiftBox
4;bxdbr01;53011101;Walnut
5;bxwhi01;66070801;GiftBox
6;bxbch01;51020701;Box of Triumph
7;bxcch01;52020701;Box of Dicem
8;bxach01;50020701;Box of Kesar
9;bxscr01;62021101;Symbol of Warrior
10;bxgem01;56040C01;Master's Small Gift
11;bxgem02;56040C02;Master's Gift
12;bxgem03;56040C03;Master's Large Gift
13;bxxts01;67131201;Test Server Only WarriorWeaponPiece
14;bxxts02;67131202;Test Server Only LauncherStaffPiece
15;bxxts03;67131203;Test Server Only RangerWeaponPiece
16;bxxts04;67131204;Test Server Only SetItemPiece
17;bxxts05;67131205;Test Server Only UniformItemPiece
18;bxcsa01;52120001;Celebration Lucky Box of Partial Commercialization <Small>
19;bxcsa02;52120002;Celebration Lucky Box of Partial Commercialization <Medium>
20;bxcsa03;52120003;Celebration Lucky Box of Partial Commercialization <Large>
21;bxcsa04;52120004;Celebration Lucky Box of Partial Commercialization <Small>
22;bxcsa05;52120005;Celebration Lucky Box of Partial Commercialization <Medium>
23;bxcsa06;52120006;Celebration Lucky Box of Partial Commercialization <Large>
24;bxcsa07;52120007;Celebration Lucky Box of Partial Commercialization <Small>
25;bxcsa08;52120008;Celebration Lucky Box of Partial Commercialization <Medium>
26;bxcsa09;52120009;Celebration Lucky Box of Partial Commercialization <Large>
27;bxchu00;52071400;ThanksGiving LargeGift Set
28;bxchu01;52071401;ThanksGiving Gift Set
29;bxcjh01;52090701;Inventer's Accessories Box
30;bxcsa10;52120010;Favor Received Box<Small>
31;bxcsa11;52120011;Favor Received Box<Medium>
32;bxcsa12;52120012;Favor Received Box<Large>
33;bxcsa13;52120013;Favor Received Box<Small>
34;bxcsa14;52120014;Favor Received Box<Medium>
35;bxcsa15;52120015;Favor Received Box<Large>
36;bxcsa16;52120016;Favor Received Box<Small>
37;bxcsa17;52120017;Favor Received Box<Medium>
38;bxcsa18;52120018;Favor Received Box<Large>
39;bxcsa19;52120019;Ignorance Good Box<Small>
40;bxcsa20;52120020;Ignorance Good Box<Medium>
41;bxcsa21;52120021;Ignorance Good Box<Large>
42;bxcsa22;52120022;Ignorance Good Box<Small>
43;bxcsa23;52120023;Ignorance Good Box<Medium>
44;bxcsa24;52120024;Ignorance Good Box<Large>
45;bxcsa25;52120025;Ignorance Good Box<Small>
46;bxcsa26;52120026;Ignorance Good Box<Medium>
47;bxcsa27;52120027;Ignorance Good Box<Large>
48;bxcsa28;52120028;Socket Box
49;bxgem04;56040C04;Master's Recycling box
50;bxdha00;53070000;Hora DarkHall's OldBox
51;bxdha01;53070001;Hora DarkHall's OldBox
52;bxdha02;53070002;Hora DarkHall's OldBox
53;bxdha03;53070003;Hora DarkHall's HelmetBox
54;bxdha04;53070004;Hora DarkHall's HelmetBox
55;bxdha05;53070005;Hora DarkHall's HelmetBox
56;bxdha06;53070006;Hora DarkHall's ArmorBox
57;bxdha07;53070007;Hora DarkHall's ArmorBox
58;bxdha08;53070008;Hora DarkHall's ArmorBox
59;bxdha09;53070009;Hora DarkHall's LegBox
60;bxdha10;53070010;Hora DarkHall's LegBox
61;bxdha11;53070011;Hora DarkHall's LegBox
62;bxdha12;53070012;Hora DarkHall's GauntletBox
63;bxdha13;53070013;Hora DarkHall's GauntletBox
64;bxdha14;53070014;Hora DarkHall's GauntletBox
65;bxdha15;53070015;Hora DarkHall's ShoesBox
66;bxdha16;53070016;Hora DarkHall's ShoesBox
67;bxdha17;53070017;Hora DarkHall's ShoesBox
68;bxdha18;53070018;Hora DarkHall's WeaponBox
69;bxdha19;53070019;Hora DarkHall's WeaponBox
70;bxdha20;53070020;Hora DarkHall's WeaponBox
71;bxdha21;53070021;Hora DarkHall's TreasureBox
72;bxdha22;53070022;Hora DarkHall's TreasureBox
73;bxdha23;53070023;Hora DarkHall's TreasureBox
74;bxknb01;5A0D0101;Hidden Magical Dark Beam Saber
75;bxswb01;62160101;Hidden Magical Dark Beam Sword
76;bxaxb01;50170101;Hidden Magical Dark Bullova
77;bxmab01;5C000101;Hidden Magical Dark Beam Pressure
78;bxspb01;620F0101;Hidden Magical Black Lance
79;bxbob01;510E0101;Hidden Magical Black Siege Bow
80;bxfib01;55080101;Hidden Magical Dark Gatling
81;bxlub01;5B140101;Hidden Magical Dark Flame Launcher
82;bxstb01;62130101;Hidden Magical Dark Staff
83;bxbih01;51080701;Hidden Magical Helmet
84;bxcih01;52080701;Hidden Magical Helmet
85;bxaih01;50080701;Hidden Magical Helmet
86;bxbiu01;51081401;Hidden Magical Shirts
87;bxciu01;52081401;Hidden Magical Shirts
88;bxaiu01;50081401;Hidden Magical Shirts
89;bxbil01;51080B01;Hidden Magical Pants
90;bxcil01;52080B01;Hidden Magical Pants
91;bxail01;50080B01;Hidden Magical Pants
92;bxbig01;51080601;Hidden Magical Gloves
93;bxcig01;52080601;Hidden Magical Gloves
94;bxaig01;50080601;Hidden Magical Gloves
95;bxbis01;51081201;Hidden Magical Shoes
96;bxcis01;52081201;Hidden Magical Shoes
97;bxais01;50081201;Hidden Magical Shoes
98;bxbih00;51080700;Blocked Magical Helmet
99;bxcih00;52080700;Blocked Magical Helmet
100;bxaih00;50080700;Blocked Magical Helmet
101;bxbiu00;51081400;Blocked Magical Shirts
102;bxciu00;52081400;Blocked Magical Shirts
103;bxaiu00;50081400;Blocked Magical Shirts
104;bxbil00;51080B00;Blocked Magical Pants
105;bxcil00;52080B00;Blocked Magical Pants
106;bxail00;50080B00;Blocked Magical Pants
107;bxbig00;51080600;Blocked Magical Gloves
108;bxcig00;52080600;Blocked Magical Gloves
109;bxaig00;50080600;Blocked Magical Gloves
110;bxbis00;51081200;Blocked Magical Shoes
111;bxcis00;52081200;Blocked Magical Shoes
112;bxais00;50081200;Blocked Magical Shoes
113;bxbud01;51140301;BeadBox
114;bxtal01;63000B01;Mysterious TreasureBox[Defense]
115;bxtal02;63000B02;Blessed Mysterious TreasureBox[Defense]
116;bxtal03;63000B03;Mysterious TreasureBox[Offense]
117;bxtal04;63000B04;Blessed Mysterious TreasureBox[Offense]
118;bxbwc50;51160250;Union Warrior RewardBox 50LV
119;bxbrc50;51110250;Union Ranger RewardBox 50LV
120;bxbfc50;51050250;Union Force RewardBox 50LV
121;bxcwc50;52160250;Alliance Warrior RewardBox 50LV
122;bxcrc50;52110250;Alliance Ranger RewardBox 50LV
123;bxcfc50;52050250;Alliance Force RewardBox 50LV
124;bxawc50;50160250;Emperial Warrior RewardBox 50LV
125;bxarc50;50110250;Emperial Ranger RewardBox 50LV
126;bxafc50;50050250;Emperial Launcher RewardBox 50LV
127;bxbwc53;51160253;Union Warrior RewardBox 53LV
128;bxbrc53;51110253;Union Ranger RewardBox 53LV
129;bxbfc53;51050253;Union Force RewardBox 53LV
130;bxcwc53;52160253;Alliance Warrior RewardBox 53LV
131;bxcrc53;52110253;Alliance Ranger RewardBox 53LV
132;bxcfc53;52050253;Alliance Force RewardBox 53LV
133;bxawc53;50160253;Emperial Warrior RewardBox 53LV
134;bxarc53;50110253;Emperial Ranger RewardBox 53LV
135;bxafc53;50050253;Emperial Launcher RewardBox 53LV
136;bxbwc55;51160255;Union Warrior RewardBox 55LV
137;bxbrc55;51110255;Union Ranger RewardBox 55LV
138;bxbfc55;51050255;Union Force RewardBox 55LV
139;bxcwc55;52160255;Alliance Warrior RewardBox 55LV
140;bxcrc55;52110255;Alliance Ranger RewardBox 55LV
141;bxcfc55;52050255;Alliance Force RewardBox 55LV
142;bxawc55;50160255;Emperial Warrior RewardBox 55LV
143;bxarc55;50110255;Emperial Ranger RewardBox 55LV
144;bxafc55;50050255;Emperial Launcher RewardBox 55LV
145;bxrel01;61040B01;Novajan's Ancient Remain
146;bxbab50;51000150;Small Union RewardBox
147;bxcab50;52000150;Small Alliance RewardBox
148;bxaab50;50000150;Small Emperial RewardBox
149;bxspr50;620F1150;Superior Favor Box
150;bxspr53;620F1153;53 Superior Favor Box
151;bxspr55;620F1155;55 Superior Favor Box
152;bxleo01;5B040E01;Leon's Weapon Parts Box
153;bxleo02;5B040E02;Leon's Weapon Parts Box
154;bxleo03;5B040E03;Leon's Weapon Parts Box
155;bxleo04;5B040E04;Leon's Weapon Parts Box
156;bxbno50;510D0E50;Union Normal RewardBox 50LV
157;bxbno53;510D0E53;Union Normal RewardBox 53LV
158;bxbno55;510D0E55;Union Normal RewardBox 55LV
159;bxcno50;520D0E50;Alliance Normal RewardBox 50LV
160;bxcno53;520D0E53;Alliance Normal RewardBox 53LV
161;bxcno55;520D0E55;Alliance Normal RewardBox 55LV
162;bxano50;500D0E50;Emperial Normal RewardBox 50LV
163;bxano53;500D0E53;Emperial Normal RewardBox 53LV
164;bxano55;500D0E55;Emperial Normal RewardBox 55LV
165;bxcou01;520E1401;Cash DiscountCoupon Box
166;bxbgb01;51060101;Case for Auxilliary Equipment
167;bxqsa01;60120001;Level40 C Class WeaponBox
168;bxqsa02;60120002;Level40 C Class WeaponBox
169;bxqsa03;60120003;Level40 C Class WeaponBox
170;bxqsa04;60120004;Level40 C Class WeaponBox
171;bxqsa05;60120005;Set Armor Box
172;bxqsa06;60120006;Set Armor Box
173;bxqsa07;60120007;Set Armor Box
174;bxbsh50;51120750;Union Shield AwardBox 50LV
175;bxbsh53;51120753;Union Shield AwardBox 53LV
176;bxbsh55;51120755;Union Shield AwardBox 55LV
177;bxcsh50;52120750;Alliance Shield AwardBox 50LV
178;bxcsh53;52120753;Alliance Shield AwardBox 53LV
179;bxcsh55;52120755;Alliance Shield AwardBox 55LV
180;bxash50;50120750;Empire Shield AwardBox 50LV
181;bxash53;50120753;Empire Shield AwardBox 53LV
182;bxash55;50120755;Empire Shield AwardBox 55LV
183;bxcsa29;52120029;Favor Lucky Box<Small>
184;bxcsa30;52120030;Favor Lucky Box<Medium>
185;bxcsa31;52120031;Favor Lucky Box<Large>
186;bxcsa32;52120032;Favor Lucky Box<Small>
187;bxcsa33;52120033;Favor Lucky Box<Medium>
188;bxcsa34;52120034;Favor Lucky Box<Large>
189;bxcsa35;52120035;Favor Lucky Box<Small>
190;bxcsa36;52120036;Favor Lucky Box<Medium>
191;bxcsa37;52120037;Favor Lucky Box<Large>
192;bxcsa38;52120038;Fullmoon Box
193;bxcsa39;52120039;Fullmoon Box
194;bxcsa40;52120040;Fullmoon Box
195;bxcsa41;52120041;Wisdom Lucky Box<Small>
196;bxcsa42;52120042;Wisdom Lucky Box<Medium>
197;bxcsa43;52120043;Wisdom Lucky Box<Large>
198;bxcsa44;52120044;Wisdom Lucky Box<Small>
199;bxcsa45;52120045;Wisdom Lucky Box<Medium>
200;bxcsa46;52120046;Wisdom Lucky Box<Large>
201;bxcsa47;52120047;Wisdom Lucky Box<Small>
202;bxcsa48;52120048;Wisdom Lucky Box<Medium>
203;bxcsa49;52120049;Wisdom Lucky Box<Large>
204;bxcsa50;52120050;Dark Lucky Box<Small>
205;bxcsa51;52120051;Dark Lucky Box<Medium>
206;bxcsa52;52120052;Dark Lucky Box<Large>
207;bxcsa53;52120053;Dark Lucky Box<Small>
208;bxcsa54;52120054;Dark Lucky Box<Medium>
