Index;Server Code;Client Code;English Name;Image ID
0;ibbow01;C10E1601;Arrow;1
1;ibbow02;C10E1602;Fire Arrow;2
2;ibbow03;C10E1603;Ice Arrow;3
3;ibbow04;C10E1604;Poison Arrow;4
4;ibbow05;C10E1605;Multi Arrow;5
5;ibbow06;C10E1606;Mineral Arrow;6
6;ibbow07;C10E1607;Exploding Arrow;7
7;ibbow08;C10E1608;Bolt;8
8;ibbow09;C10E1609;Fire Bolt;9
9;ibbow10;C10E1610;Ice Bolt;10
10;ibbow11;C10E1611;Poison Bolt;11
11;ibbow12;C10E1612;Multi Bolt;12
12;ibbow13;C10E1613;Mineral Bolt;13
13;ibbow14;C10E1614;Exploding Bolt;14
14;ibbow15;C10E1615;Beam Cell;15
15;ibbow16;C10E1616;Advanced Beam Cell;16
16;ibbow17;C10E1617;Giga Arrow;1
17;ibbow18;C10E1618;Giga Fire Arrow;2
18;ibbow19;C10E1619;Giga Ice Arrow;3
19;ibbow20;C10E1620;Giga Poison Arrow;4
20;ibbow21;C10E1621;Giga Multi Arrow;5
21;ibbow22;C10E1622;Giga Mineral Arrow;6
22;ibbow23;C10E1623;Giga Exploding Arrow;7
23;ibbow24;C10E1624;Giga Bolt;8
24;ibbow25;C10E1625;Giga Fire Bolt;9
25;ibbow26;C10E1626;Giga Ice Bolt;10
26;ibbow27;C10E1627;Giga Poison Bolt;11
27;ibbow28;C10E1628;Giga Multi Bolt;12
28;ibbow29;C10E1629;Giga Mineral Bolt;13
29;ibbow30;C10E1630;Giga Exploding Bolt;14
30;ibbow31;C10E1631;Giga Beam Cell;15
31;ibbow32;C10E1632;Giga Advanced Beam Cell;16
32;ibbow33;C10E1633;Tera Arrow;1
33;ibbow34;C10E1634;Tera Fire Arrow;2
34;ibbow35;C10E1635;Tera Ice Arrow;3
35;ibbow36;C10E1636;Tera Poison Arrow;4
36;ibbow37;C10E1637;Tera Multi Arrow;5
37;ibbow38;C10E1638;Tera Mineral Arrow;6
38;ibbow39;C10E1639;Tera Exploding Arrow;7
39;ibbow40;C10E1640;Tera Bolt;8
40;ibbow41;C10E1641;Tera Fire Bolt;9
41;ibbow42;C10E1642;Tera Ice Bolt;10
42;ibbow43;C10E1643;Tera Poison Bolt;11
43;ibbow44;C10E1644;Tera Multi Bolt;12
44;ibbow45;C10E1645;Tera Mineral Bolt;13
45;ibbow46;C10E1646;Tera Exploding Bolt;14
46;ibbow47;C10E1647;Tera Beam Cell;15
47;ibbow48;C10E1648;Tera Advanced Beam Cell;16
48;ibbow49;C10E1649;Bullet;0
49;ibbow50;C10E1650;Bullet;0
50;ibbow51;C10E1651;Bullet;0
51;ibbow52;C10E1652;Bullet;0
52;ibbow53;C10E1653;Bullet;0
53;ibbow54;C10E1654;Bullet;0
54;ibbow55;C10E1655;Bullet;0
55;ibbow56;C10E1656;Bullet;0
56;ibbow57;C10E1657;Bullet;0
57;ibbow58;C10E1658;Bullet;0
58;ibbow59;C10E1659;Bullet;0
59;ibbow60;C10E1660;Bullet;0
60;ibbow61;C10E1661;Bullet;0
61;ibbow62;C10E1662;Bullet;0
62;ibbow63;C10E1663;Bullet;0
63;ibbow64;C10E1664;Bullet;0
64;ibbow65;C10E1665;Bullet;0
65;ibbow66;C10E1666;Bullet;0
66;ibbow67;C10E1667;Bullet;0
67;ibbow68;C10E1668;Bullet;0
68;ibbow69;C10E1669;Bullet;0
69;ibbow70;C10E1670;Bullet;0
70;ibbow71;C10E1671;Bullet;0
71;ibbow72;C10E1672;Bullet;0
72;ibbow73;C10E1673;Bullet;0
73;ibbow74;C10E1674;Bullet;0
74;ibbow75;C10E1675;Bullet;0
75;ibbow76;C10E1676;Bullet;0
76;ibbow77;C10E1677;Bullet;0
77;ibbow78;C10E1678;Bullet;0
78;ibbow79;C10E1679;Bullet;0
79;ibbow80;C10E1680;Bullet;0
