Index;Server Code;Client Code;English Name;Image ID
0;ikbb001;C1010100;Force Booster;154
1;ikbb002;C1010200;Fire Force Booster;154
2;ikbb003;C1010300;Aqua Force Booster;154
3;ikbb004;C1010400;Terra Force Booster;154
4;ikbb005;C1010500;Wind Force Booster;154
5;ikbb006;C1010600;Advanced Force Booster;154
6;ikbb007;C1010700;Advanced Fire Force Booster;154
7;ikbb008;C1010800;Advanced Aqua Force Booster;154
8;ikbb009;C1010900;Advanced Terra Booster;154
9;ikbb010;C1011000;Advanced Wind Booster;154
10;ikbb011;C1011100;Bellato Mantle11;142
11;ikbpc01;C10F0201;Cafe Only Jet Pack;202
12;ikbb013;C1011300;Golden Force Booster;217
13;ikbb014;C1011400;Golden Etel Wing;0
14;ikbb015;C1011500;Golden Penger Priguel;0
15;ikbb016;C1011600;Stealth Cloak;0
16;ikbb017;C1011700;Bellato Mantle17;0
17;ikbb018;C1011800;Bellato Mantle18;0
18;ikbb019;C1011900;Bellato Mantle19;0
19;ikbb020;C1012000;Bellato Mantle20;0
20;ikbb021;C1012100;Bellato Mantle21;0
21;ikbb022;C1012200;Bellato Mantle22;0
22;ikbb023;C1012300;Bellato Mantle23;0
23;ikbb024;C1012400;Bellato Mantle24;0
24;ikbb025;C1012500;Bellato Mantle25;0
25;ikbb026;C1012600;Bellato Mantle26;0
26;ikbb027;C1012700;Bellato Mantle27;0
27;ikbb028;C1012800;Bellato Mantle28;0
28;ikbb029;C1012900;Bellato Mantle29;0
29;ikbb030;C1013000;Bellato Mantle30;0
30;ikbb031;C1013100;Bellato Mantle31;0
31;ikbb032;C1013200;Bellato Mantle32;0
32;ikbb033;C1013300;Bellato Mantle33;0
33;ikbb034;C1013400;Bellato Mantle34;0
34;ikbb035;C1013500;Bellato Mantle35;0
35;ikbb036;C1013600;Bellato Mantle36;0
36;ikbb037;C1013700;Bellato Mantle37;0
37;ikbb038;C1013800;Bellato Mantle38;0
38;ikbb039;C1013900;Bellato Mantle39;0
39;ikbb040;C1014000;Bellato Mantle40;0
40;ikbb041;C1014100;Bellato Mantle41;0
41;ikbb042;C1014200;Bellato Mantle42;0
42;ikbb043;C1014300;Bellato Mantle43;0
43;ikbb044;C1014400;Bellato Mantle44;0
44;ikbb045;C1014500;Bellato Mantle45;0
45;ikbb046;C1014600;Bellato Mantle46;0
46;ikbb047;C1014700;Bellato Mantle47;0
47;ikbb048;C1014800;Bellato Mantle48;0
48;ikbb049;C1014900;Bellato Mantle49;0
49;ikbb050;C1015000;Bellato Mantle50;0
50;ikbb051;C1015100;Bellato Mantle51;0
51;ikbb052;C1015200;Bellato Mantle52;0
52;ikbb053;C1015300;Bellato Mantle53;0
53;ikbb054;C1015400;Bellato Mantle54;0
54;ikbb055;C1015500;Bellato Mantle55;0
55;ikbb056;C1015600;Bellato Mantle56;0
56;ikbb057;C1015700;Bellato Mantle57;0
57;ikbb058;C1015800;Bellato Mantle58;0
58;ikbb059;C1015900;Bellato Mantle59;0
59;ikbb060;C1016000;Bellato Mantle60;0
60;ikbb061;C1016100;Bellato Mantle61;0
61;ikbb062;C1016200;Bellato Mantle62;0
62;ikbb063;C1016300;Bellato Mantle63;0
63;ikbb064;C1016400;Bellato Mantle64;0
64;ikbb065;C1016500;Bellato Mantle65;0
65;ikbb066;C1016600;Bellato Mantle66;0
66;ikbb067;C1016700;Bellato Mantle67;0
67;ikbb068;C1016800;Bellato Mantle68;0
68;ikbb069;C1016900;Bellato Mantle69;0
69;ikbb070;C1017000;Bellato Mantle70;0
70;ikbb071;C1017100;Bellato Mantle71;0
71;ikbb072;C1017200;Bellato Mantle72;0
72;ikbb073;C1017300;Bellato Mantle73;0
73;ikbb074;C1017400;Bellato Mantle74;0
74;ikbb075;C1017500;Bellato Mantle75;0
75;ikbb076;C1017600;Bellato Mantle76;0
76;ikbb077;C1017700;Bellato Mantle77;0
77;ikbb078;C1017800;Bellato Mantle78;0
78;ikbb079;C1017900;Bellato Mantle79;0
79;ikbb080;C1018000;Bellato Mantle80;0
80;ikbb081;C1018100;Bellato Mantle81;0
81;ikbb082;C1018200;Bellato Mantle82;0
82;ikbb083;C1018300;Bellato Mantle83;0
83;ikbb084;C1018400;Bellato Mantle84;0
84;ikbb085;C1018500;Bellato Mantle85;0
85;ikbb086;C1018600;Bellato Mantle86;0
86;ikbb087;C1018700;Bellato Mantle87;0
87;ikbb088;C1018800;Bellato Mantle88;0
88;ikbb089;C1018900;Bellato Mantle89;0
89;ikbb090;C1019000;Bellato Mantle90;0
90;ikbb091;C1019100;Bellato Mantle91;0
91;ikbb092;C1019200;Bellato Mantle92;0
92;ikbb093;C1019300;Bellato Mantle93;0
93;ikbb094;C1019400;Bellato Mantle94;0
94;ikbb095;C1019500;Bellato Mantle95;0
95;ikbb096;C1019600;Bellato Mantle96;0
96;ikbb097;C1019700;Bellato Mantle97;0
97;ikbb098;C1019800;Bellato Mantle98;0
98;ikbb099;C1019900;Bellato Mantle99;0
99;ikbb100;C1010000;Bellato Mantle100;0
100;ikbb101;C1010100;Bellato Mantle101;0
101;ikbb102;C1010200;Bellato Mantle102;0
102;ikbb103;C1010300;Bellato Mantle103;0
103;ikbb104;C1010400;Bellato Mantle104;0
104;ikbb105;C1010500;Bellato Mantle105;0
105;ikbb106;C1010600;Bellato Mantle106;0
106;ikbb107;C1010700;Bellato Mantle107;0
107;ikbb108;C1010800;Bellato Mantle108;0
108;ikbb109;C1010900;Bellato Mantle109;0
109;ikbb110;C1011000;Bellato Mantle110;0
110;ikbb111;C1011100;Bellato Mantle111;0
111;ikbb112;C1011200;Bellato Mantle112;0
112;ikbb113;C1011300;Bellato Mantle113;0
113;ikbb114;C1011400;Bellato Mantle114;0
114;ikbb115;C1011500;Bellato Mantle115;0
115;ikbb116;C1011600;Bellato Mantle116;0
116;ikbb117;C1011700;Bellato Mantle117;0
117;ikbb118;C1011800;Bellato Mantle118;0
118;ikbb119;C1011900;Bellato Mantle119;0
119;ikbb120;C1012000;Bellato Mantle120;0
120;ikbb121;C1012100;Bellato Mantle121;0
121;ikbb122;C1012200;Bellato Mantle122;0
122;ikbb123;C1012300;Bellato Mantle123;0
123;ikbb124;C1012400;Bellato Mantle124;0
124;ikbb125;C1012500;Bellato Mantle125;0
125;ikbb126;C1012600;Bellato Mantle126;0
126;ikbb127;C1012700;Bellato Mantle127;0
127;ikbb128;C1012800;Bellato Mantle128;0
128;ikbb129;C1012900;Bellato Mantle129;0
129;ikbb130;C1013000;Bellato Mantle130;0
130;ikbb131;C1013100;Bellato Mantle131;0
131;ikbb132;C1013200;Bellato Mantle132;0
132;ikbb133;C1013300;Bellato Mantle133;0
133;ikbb134;C1013400;Bellato Mantle134;0
134;ikbb135;C1013500;Bellato Mantle135;0
135;ikbb136;C1013600;Bellato Mantle136;0
136;ikbb137;C1013700;Bellato Mantle137;0
137;ikbb138;C1013800;Bellato Mantle138;0
138;ikbb139;C1013900;Bellato Mantle139;0
139;ikbb140;C1014000;Bellato Mantle140;0
140;ikbb141;C1014100;Bellato Mantle141;0
141;ikbb142;C1014200;Bellato Mantle142;0
142;ikbb143;C1014300;Bellato Mantle143;0
143;ikbb144;C1014400;Bellato Mantle144;0
144;ikbb145;C1014500;Bellato Mantle145;0
145;ikbb146;C1014600;Bellato Mantle146;0
146;ikbb147;C1014700;Bellato Mantle147;0
147;ikbb148;C1014800;Bellato Mantle148;0
148;ikbb149;C1014900;Bellato Mantle149;0
149;ikbb150;C1015000;Bellato Mantle150;0
150;ikbb151;C1015100;Bellato Mantle151;0
151;ikbb152;C1015200;Bellato Mantle152;0
152;ikbb153;C1015300;Bellato Mantle153;0
153;ikbb154;C1015400;Bellato Mantle154;0
154;ikbb155;C1015500;Bellato Mantle155;0
155;ikbb156;C1015600;Bellato Mantle156;0
156;ikbb157;C1015700;Bellato Mantle157;0
157;ikbb158;C1015800;Bellato Mantle158;0
158;ikbb159;C1015900;Bellato Mantle159;0
159;ikbb160;C1016000;Bellato Mantle160;0
160;ikbb161;C1016100;Bellato Mantle161;0
161;ikbb162;C1016200;Bellato Mantle162;0
162;ikbb163;C1016300;Bellato Mantle163;0
163;ikbb164;C1016400;Bellato Mantle164;0
164;ikbb165;C1016500;Bellato Mantle165;0
165;ikbb166;C1016600;Bellato Mantle166;0
166;ikbb167;C1016700;Bellato Mantle167;0
167;ikbb168;C1016800;Bellato Mantle168;0
168;ikbb169;C1016900;Bellato Mantle169;0
169;ikbb170;C1017000;Bellato Mantle170;0
170;ikbb171;C1017100;Bellato Mantle171;0
171;ikbb172;C1017200;Bellato Mantle172;0
172;ikbb173;C1017300;Bellato Mantle173;0
173;ikbb174;C1017400;Bellato Mantle174;0
174;ikbb175;C1017500;Bellato Mantle175;0
175;ikbb176;C1017600;Bellato Mantle176;0
176;ikbb177;C1017700;Bellato Mantle177;0
177;ikbb178;C1017800;Bellato Mantle178;0
178;ikbb179;C1017900;Bellato Mantle179;0
179;ikbb180;C1018000;Bellato Mantle180;0
180;ikbb181;C1018100;Bellato Mantle181;0
181;ikbb182;C1018200;Bellato Mantle182;0
182;ikbb183;C1018300;Bellato Mantle183;0
183;ikbb184;C1018400;Bellato Mantle184;0
184;ikbb185;C1018500;Bellato Mantle185;0
185;ikbb186;C1018600;Bellato Mantle186;0
186;ikbb187;C1018700;Bellato Mantle187;0
187;ikbb188;C1018800;Bellato Mantle188;0
188;ikbb189;C1018900;Bellato Mantle189;0
189;ikbb190;C1019000;Bellato Mantle190;0
190;ikbb191;C1019100;Bellato Mantle191;0
191;ikbb192;C1019200;Bellato Mantle192;0
192;ikbb193;C1019300;Bellato Mantle193;0
193;ikbb194;C1019400;Bellato Mantle194;0
194;ikbb195;C1019500;Bellato Mantle195;0
195;ikbb196;C1019600;Bellato Mantle196;0
196;ikbb197;C1019700;Bellato Mantle197;0
197;ikbb198;C1019800;Bellato Mantle198;0
198;ikbb199;C1019900;Bellato Mantle199;0
199;ikbb200;C1010000;Bellato Mantle200;0
200;ikbb201;C1010100;Bellato Mantle201;0
201;ikbb202;C1010200;Bellato Mantle202;0
202;ikbb203;C1010300;Bellato Mantle203;0
203;ikbb204;C1010400;Bellato Mantle204;0
204;ikbb205;C1010500;Bellato Mantle205;0
205;ikbb206;C1010600;Bellato Mantle206;0
206;ikbb207;C1010700;Bellato Mantle207;0
207;ikbb208;C1010800;Bellato Mantle208;0
