Index;Server Code;Client Code;English Name;Image ID
0;cucou00;620E1400;PCcafe PremiumDiscount Coupon[1Hr];1
1;cucou01;620E1401;PCcafe PremiumDiscount Coupon[2Hr];2
2;cucou02;620E1402;PCcafe PremiumDiscount Coupon[3Hr];3
3;cucou03;620E1403;PCcafe PremiumDiscount Coupon[4Hr];4
4;cucou04;620E1404;PCcafe PremiumDiscount Coupon[5Hr];5
5;cucou05;620E1405;Membership Coupon[Silver];6
6;cucou06;620E1406;Membership Coupon[Gold];7
7;cucou07;620E1407;Membership Coupon[Platinum];8
8;cucou08;620E1408;Membership Coupon[Emerald];9
9;cucou09;620E1409;Membership Coupon[Sapphire];10
10;cucou10;620E1410;Membership Coupon[Diamond];11
11;cucou11;620E1411;Cash Discount Coupon 500;20
12;cucou12;620E1412;Cash Discount Coupon 1000;21
13;cucou13;620E1413;Cash Discount Coupon 1%;13
14;cucou14;620E1414;Cash Discount Coupon 2%;14
15;cucou15;620E1415;Cash Discount Coupon 3%;15
16;cucou16;620E1416;Cash Discount Coupon 5%;16
17;cucou17;620E1417;Cash Discount Coupon 7%;17
18;cucou18;620E1418;Cash Discount Coupon 10%;18
19;cucou19;620E1419;Cash Discount Coupon 80%;19
