Index;Server Code;Client Code;English Name;Image ID
0;igdbf01;C3010501;Default Bellato Male Gloves 1;0
1;igdbf02;C3010502;Default Bellato Male Gloves 2;0
2;igdbf03;C3010503;Default Bellato Male Gloves 3;0
3;igdbf04;C3010504;Default Bellato Male Gloves 4;0
4;igdbf05;C3010505;Default Bellato Male Gloves 5;0
5;igdbf06;C3010506;Default Bellato Male Gloves 6;0
6;igdbf07;C3010507;Default Bellato Male Gloves 7;0
7;igdbf08;C3010508;Default Bellato Male Gloves 8;0
8;igdbf09;C3010509;Default Bellato Male Gloves 9;0
9;igdbf10;C3010510;Default Bellato Male Gloves 10;0
10;igdbf11;C3010511;Default Bellato Male Gloves 11;0
11;igdbf12;C3010512;Default Bellato Male Gloves 12;0
12;igdbf13;C3010513;Default Bellato Male Gloves 13;0
13;igdbf14;C3010514;Default Bellato Male Gloves 14;0
14;igdbf15;C3010515;Default Bellato Male Gloves 15;0
15;igdbf16;C3010516;Default Bellato Male Gloves 16;0
16;igdbm01;C3010C01;Default Bellato Female Gloves 1;0
17;igdbm02;C3010C02;Default Bellato Female Gloves 2;0
18;igdbm03;C3010C03;Default Bellato Female Gloves 3;0
19;igdbm04;C3010C04;Default Bellato Female Gloves 4;0
20;igdbm05;C3010C05;Default Bellato Female Gloves 5;0
21;igdbm06;C3010C06;Default Bellato Female Gloves 6;0
22;igdbm07;C3010C07;Default Bellato Female Gloves 7;0
23;igdbm08;C3010C08;Default Bellato Female Gloves 8;0
24;igdbm09;C3010C09;Default Bellato Female Gloves 9;0
25;igdbm10;C3010C10;Default Bellato Female Gloves 10;0
26;igdbm11;C3010C11;Default Bellato Female Gloves 11;0
27;igdbm12;C3010C12;Default Bellato Female Gloves 12;0
28;igdbm13;C3010C13;Default Bellato Female Gloves 13;0
29;igdbm14;C3010C14;Default Bellato Female Gloves 14;0
30;igdbm15;C3010C15;Default Bellato Female Gloves 15;0
31;igdbm16;C3010C16;Default Bellato Female Gloves 16;0
32;igdcf01;C3020501;Default Cora Male Gloves 1;0
33;igdcf02;C3020502;Default Cora Male Gloves 2;0
34;igdcf03;C3020503;Default Cora Male Gloves 3;0
