Index;Server Code;Client Code;English Name;Image ID
0;ihdbf01;C3010501;Default Bellato Male Helmet1;0
1;ihdbf02;C3010502;Default Bellato Male Helmet2;0
2;ihdbf03;C3010503;Default Bellato Male Helmet3;0
3;ihdbf04;C3010504;Default Bellato Male Helmet4;0
4;ihdbf05;C3010505;Default Bellato Male Helmet5;0
5;ihdbf06;C3010506;Default Bellato Male Helmet6;0
6;ihdbf07;C3010507;Default Bellato Male Helmet7;0
7;ihdbf08;C3010508;Default Bellato Male Helmet8;0
8;ihdbf09;C3010509;Default Bellato Male Helmet9;0
9;ihdbf10;C3010510;Default Bellato Male Helmet10;0
10;ihdbf11;C3010511;Default Bellato Male Helmet11;0
11;ihdbf12;C3010512;Default Bellato Male Helmet12;0
12;ihdbf13;C3010513;Default Bellato Male Helmet13;0
13;ihdbf14;C3010514;Default Bellato Male Helmet14;0
14;ihdbf15;C3010515;Default Bellato Male Helmet15;0
15;ihdbf16;C3010516;Default Bellato Male Helmet16;0
16;ihdbm01;C3010C01;Default Bellato Female Helmet1;0
17;ihdbm02;C3010C02;Default Bellato Female Helmet2;0
18;ihdbm03;C3010C03;Default Bellato Female Helmet3;0
19;ihdbm04;C3010C04;Default Bellato Female Helmet4;0
20;ihdbm05;C3010C05;Default Bellato Female Helmet5;0
21;ihdbm06;C3010C06;Default Bellato Female Helmet6;0
22;ihdbm07;C3010C07;Default Bellato Female Helmet7;0
23;ihdbm08;C3010C08;Default Bellato Female Helmet8;0
24;ihdbm09;C3010C09;Default Bellato Female Helmet9;0
25;ihdbm10;C3010C10;Default Bellato Female Helmet10;0
26;ihdbm11;C3010C11;Default Bellato Female Helmet11;0
27;ihdbm12;C3010C12;Default Bellato Female Helmet12;0
28;ihdbm13;C3010C13;Default Bellato Female Helmet13;0
29;ihdbm14;C3010C14;Default Bellato Female Helmet14;0
30;ihdbm15;C3010C15;Default Bellato Female Helmet15;0
31;ihdbm16;C3010C16;Default Bellato Female Helmet16;0
32;ihdcf01;C3020501;Default Cora Male Helmet1;0
33;ihdcf02;C3020502;Default Cora Male Helmet2;0
34;ihdcf03;C3020503;Default Cora Male Helmet3;0
35;ihdcf04;C3020504;Default Cora Male Helmet4;0
36;ihdcf05;C3020505;Default Cora Male Helmet5;0
37;ihdcf06;C3020506;Default Cora Male Helmet6;0
38;ihdcf07;C3020507;Default Cora Male Helmet7;0
39;ihdcf08;C3020508;Default Cora Male Helmet8;0
40;ihdcf09;C3020509;Default Cora Male Helmet9;0
41;ihdcf10;C3020510;Default Cora Male Helmet10;0
42;ihdcf11;C3020511;Default Cora Male Helmet11;0
43;ihdcf12;C3020512;Default Cora Male Helmet12;0
44;ihdcf13;C3020513;Default Cora Male Helmet13;0
45;ihdcf14;C3020514;Default Cora Male Helmet14;0
46;ihdcf15;C3020515;Default Cora Male Helmet15;0
47;ihdcf16;C3020516;Default Cora Male Helmet16;0
48;ihdcm01;C3020C01;Default Cora Female Helmet1;0
49;ihdcm02;C3020C02;Default Cora Female Helmet2;0
50;ihdcm03;C3020C03;Default Cora Female Helmet3;0
51;ihdcm04;C3020C04;Default Cora Female Helmet4;0
52;ihdcm05;C3020C05;Default Cora Female Helmet5;0
53;ihdcm06;C3020C06;Default Cora Female Helmet6;0
54;ihdcm07;C3020C07;Default Cora Female Helmet7;0
55;ihdcm08;C3020C08;Default Cora Female Helmet8;0
56;ihdcm09;C3020C09;Default Cora Female Helmet9;0
57;ihdcm10;C3020C10;Default Cora Female Helmet10;0
58;ihdcm11;C3020C11;Default Cora Female Helmet11;0
59;ihdcm12;C3020C12;Default Cora Female Helmet12;0
60;ihdcm13;C3020C13;Default Cora Female Helmet13;0
61;ihdcm14;C3020C14;Default Cora Female Helmet14;0
62;ihdcm15;C3020C15;Default Cora Female Helmet15;0
63;ihdcm16;C3020C16;Default Cora Female Helmet16;0
64;ihdam01;C3000C01;Default Accretia Helmet1;0
65;ihdam02;C3000C02;Default Accretia Helmet2;0
66;ihdam03;C3000C03;Default Accretia Helmet3;0
67;ihdam04;C3000C04;Default Accretia Helmet4;0
68;ihdam05;C3000C05;Default Accretia Helmet5;0
69;ihdam06;C3000C06;Default Accretia Helmet6;0
70;ihdam07;C3000C07;Default Accretia Helmet7;0
71;ihdam08;C3000C08;Default Accretia Helmet8;0
72;ihdam09;C3000C09;Default Accretia Helmet9;0
73;ihdam10;C3000C10;Default Accretia Helmet10;0
74;ihdam11;C3000C11;Default Accretia Helmet11;0
75;ihdam12;C3000C12;Default Accretia Helmet12;0
76;ihdam13;C3000C13;Default Accretia Helmet13;0
77;ihdam14;C3000C14;Default Accretia Helmet14;0
78;ihdam15;C3000C15;Default Accretia Helmet15;0
79;ihdam16;C3000C16;Default Accretia Helmet16;0
80;ihbwa04;C1160004;Training Cap;1
81;ihbwb04;C1160104;Intense Training Cap;1
82;ihbwc04;C1160204;Training Cap;190
83;ihbwd04;C1160304;Training Cap;190
84;ihbwa07;C1160007;Rag Cap;2
85;ihbwb07;C1160107;Intense Rag Cap;2
86;ihbwc07;C1160207;Rag Cap;2
87;ihbwd07;C1160307;Rag Cap;2
88;ihbwa10;C1160010;Leather Cap;3
89;ihbwb10;C1160110;Intense Leather Cap;3
90;ihbwc10;C1160210;Leather Cap;3
91;ihbwd10;C1160310;Leather Cap;3
92;ihbwa13;C1160013;Normal Parsal Circlet;4
93;ihbwb13;C1160113;Intense Normal Parsal Circlet;4
94;ihbwc13;C1160213;Normal Parsal Circlet;4
95;ihbwd13;C1160313;Normal Parsal Circlet;4
96;ihbwa16;C1160016;Parsal Circlet;5
97;ihbwb16;C1160116;Intense Parsal Circlet;5
98;ihbwc16;C1160216;Parsal Circlet;5
99;ihbwd16;C1160316;Parsal Circlet;5
100;ihbwa19;C1160019;Light Enamel Circlet;6
101;ihbwb19;C1160119;Intense Light Enamel Circlet;6
102;ihbwc19;C1160219;Light Enamel Circlet;6
103;ihbwd19;C1160319;Light Enamel Circlet;6
104;ihbwa21;C1160021;Enamel Helmet;7
105;ihbwb21;C1160121;Intense Enamel Helmet;7
106;ihbwc21;C1160221;Enamel Helmet;7
107;ihbwd21;C1160321;Enamel Helmet;7
108;ihbwa23;C1160023;Rust Duple Helmet;8
109;ihbwb23;C1160123;Intense Rust Duple Helmet;8
110;ihbwc23;C1160223;Rust Duple Helmet;8
111;ihbwd23;C1160323;Rust Duple Helmet;8
112;ihbwa25;C1160025;Duple Helmet;9
113;ihbwb25;C1160125;Intense Duple Helmet;9
114;ihbwc25;C1160225;Duple Helmet;9
115;ihbwd25;C1160325;Duple Helmet;9
116;ihbwa27;C1160027;Soul Helmet;10
117;ihbwb27;C1160127;Intense Soul Helmet;10
118;ihbwc27;C1160227;Soul Helmet;10
119;ihbwd27;C1160327;Soul Helmet;10
120;ihbwa29;C1160029;Glim Helmet;11
121;ihbwb29;C1160129;Intense Glim Helmet;11
122;ihbwc29;C1160229;Glim Helmet;11
123;ihbwd29;C1160329;Glim Helmet;11
124;ihbwa31;C1160031;Soul Render HeadGear;12
125;ihbwb31;C1160131;Intense Soul Render HeadGear;12
126;ihbwc31;C1160231;Soul Render HeadGear;12
127;ihbwd31;C1160331;Soul Render HeadGear;12
128;ihbwa33;C1160033;Bright HeadGear;13
129;ihbwb33;C1160133;Intense Bright HeadGear;13
130;ihbwc33;C1160233;Bright HeadGear;13
131;ihbwd33;C1160333;Bright HeadGear;13
132;ihbwa35;C1160035;Normal Siege HeadGear;14
133;ihbwb35;C1160135;Intense Normal Siege HeadGear;14
134;ihbwc35;C1160235;Normal Siege HeadGear;14
135;ihbwd35;C1160335;Normal Siege HeadGear;14
136;ihbwa37;C1160037;Siege HeadGear;15
137;ihbwb37;C1160137;Intense Siege HeadGear;15
138;ihbwc37;C1160237;Siege HeadGear;15
139;ihbwd37;C1160337;Siege HeadGear;15
140;ihbwa39;C1160039;Core HeadGear;16
141;ihbwb39;C1160139;Intense Core HeadGear;16
142;ihbwc39;C1160239;Core HeadGear;16
143;ihbwd39;C1160339;Core HeadGear;16
144;ihbwa41;C1160041;Double Core FullHelm;17
145;ihbwb41;C1160141;Intense Double Core FullHelm;17
146;ihbwc40;C1160240;Normal Uniform Headgear<GuildMasterOnly>;199
147;ihbwd40;C1160340;Normal Uniform Headgear<ArchonOnly>;199
148;ihbwa43;C1160043;Chip Magnetic FullHelm;18
149;ihbwb43;C1160143;Intense Chip Magnetic FullHelm;18
150;ihbwc43;C1160243;Chip Magnetic FullHelm;18
151;ihbwd43;C1160343;Chip Magnetic FullHelm;18
152;ihbwa45;C1160045;Magnetic FullHelm;19
153;ihbwb45;C1160145;Intense Magnetic FullHelm;19
154;ihbwc45;C1160245;Symbol of Leader FullHelm;200
155;ihbwd45;C1160345;Bellato Union's Shout FullHelm;201
156;ihbwa47;C1160047;Berserker FullHelm;20
157;ihbwb47;C1160147;Intense Berserker FullHelm;20
158;ihbwc47;C1160247;Berserker FullHelm;20
159;ihbwd47;C1160347;Berserker FullHelm;20
160;ihbwa50;C1160050;Golden FullHelm;21
161;ihbwb50;C1160150;Intense Golden FullHelm;21
162;ihbwc50;C1160250;Palmas Head Protector<M-type>;190
163;ihbwd50;C1160350;Golden FullHelm;21
164;ihbra04;C1110004;Light Training None;22
165;ihbrb04;C1110104;Intense Light Training None;22
166;ihbrc04;C1110204;Light Training None;191
167;ihbrd04;C1110304;Light Training None;191
168;ihbra07;C1110007;Clos None;23
169;ihbrb07;C1110107;Intense Clos None;23
170;ihbrc07;C1110207;Clos None;191
