Index;Server Code;Client Code;English Name;Image ID
0;ildbf01;C3010501;Default Bellato Male Pants1;0
1;ildbf02;C3010502;Default Bellato Male Pants2;0
2;ildbf03;C3010503;Default Bellato Male Pants3;0
3;ildbf04;C3010504;Default Bellato Male Pants4;0
4;ildbf05;C3010505;Default Bellato Male Pants5;0
5;ildbf06;C3010506;Default Bellato Male Pants6;0
6;ildbf07;C3010507;Default Bellato Male Pants7;0
7;ildbf08;C3010508;Default Bellato Male Pants8;0
8;ildbf09;C3010509;Default Bellato Male Pants9;0
9;ildbf10;C3010510;Default Bellato Male Pants10;0
10;ildbf11;C3010511;Default Bellato Male Pants11;0
11;ildbf12;C3010512;Default Bellato Male Pants12;0
12;ildbf13;C3010513;Default Bellato Male Pants13;0
13;ildbf14;C3010514;Default Bellato Male Pants14;0
14;ildbf15;C3010515;Default Bellato Male Pants15;0
15;ildbf16;C3010516;Default Bellato Male Pants16;0
16;ildbm01;C3010C01;Default Bellato Female Pants1;0
17;ildbm02;C3010C02;Default Bellato Female Pants2;0
18;ildbm03;C3010C03;Default Bellato Female Pants3;0
19;ildbm04;C3010C04;Default Bellato Female Pants4;0
20;ildbm05;C3010C05;Default Bellato Female Pants5;0
21;ildbm06;C3010C06;Default Bellato Female Pants6;0
22;ildbm07;C3010C07;Default Bellato Female Pants7;0
23;ildbm08;C3010C08;Default Bellato Female Pants8;0
24;ildbm09;C3010C09;Default Bellato Female Pants9;0
25;ildbm10;C3010C10;Default Bellato Female Pants10;0
26;ildbm11;C3010C11;Default Bellato Female Pants11;0
27;ildbm12;C3010C12;Default Bellato Female Pants12;0
28;ildbm13;C3010C13;Default Bellato Female Pants13;0
29;ildbm14;C3010C14;Default Bellato Female Pants14;0
30;ildbm15;C3010C15;Default Bellato Female Pants15;0
31;ildbm16;C3010C16;Default Bellato Female Pants16;0
32;ildcf01;C3020501;Default Cora Male Pants1;0
33;ildcf02;C3020502;Default Cora Male Pants2;0
34;ildcf03;C3020503;Default Cora Male Pants3;0
35;ildcf04;C3020504;Default Cora Male Pants4;0
36;ildcf05;C3020505;Default Cora Male Pants5;0
37;ildcf06;C3020506;Default Cora Male Pants6;0
38;ildcf07;C3020507;Default Cora Male Pants7;0
39;ildcf08;C3020508;Default Cora Male Pants8;0
40;ildcf09;C3020509;Default Cora Male Pants9;0
41;ildcf10;C3020510;Default Cora Male Pants10;0
42;ildcf11;C3020511;Default Cora Male Pants11;0
43;ildcf12;C3020512;Default Cora Male Pants12;0
44;ildcf13;C3020513;Default Cora Male Pants13;0
45;ildcf14;C3020514;Default Cora Male Pants14;0
