Index;Server Code;Client Code;English Name;Image ID
0;izbbb00;C1010100;Training Bellato HQ;1
1;izccc00;C2020200;Training Cora HQ;1
2;izaaa00;C0000000;Training Accretia HQ;1
3;izbbb01;C1010101;Bellato HQ;1
4;izccc01;C2020201;Cora HQ;1
5;izaaa01;C0000001;Accretia HQ;1
6;izbnn01;C10D0D01;Solus Settlement;1
7;izbnn02;C10D0D02;Anacaade Settlement;1
8;izcnn01;C20D0D01;Haram Stockade;1
9;izcnn02;C20D0D02;Numerus Stockade;1
10;izann01;C00D0D01;Armory-213;1
11;izann02;C00D0D02;Armory-117;1
12;izree01;D1040401;Crag Mine Field;1
13;izpll01;CF0B0B01;Ether Platform;1
14;izset01;D2041301;Sette Desert;1
15;izcol01;C20E0B01;Caldron Volcanic Zone;1
16;izelf00;C40B0500;Ancient Edisil Kingdom's Map;1
17;izelf01;C40B0501;Elven Area;1
