Index;Server Code;Client Code;English Name;Image ID
0;lknpc00;FD0F0200;UMT Disposable Pager;1
1;lknpc01;FD0F0201;UMT Pager;2
2;lknpc02;FD0F0202;UMT Disposable Pager;1
3;lknpc03;FD0F0203;UMT Pager;2
4;lknpc04;FD0F0204;UMT Disposable Pager;1
5;lknpc05;FD0F0205;UMT Pager;2
6;lknpc06;FD0F0206;Storage Disposable Beeper;4
7;lknpc07;FD0F0207;Storage Beeper;4
8;lknpc08;FD0F0208;Storage Disposable Beeper;5
9;lknpc09;FD0F0209;Storage Beeper;5
10;lknpc10;FD0F0210;Storage Disposable Beeper;6
11;lknpc11;FD0F0211;Warehouse Beeper;6
12;lknpc12;FD0F0212;Combination Disposable Beeper;13
13;lknpc13;FD0F0213;Combination Beeper;14
14;lknpc14;FD0F0214;Combination Disposable Beeper;15
15;lknpc15;FD0F0215;Combination Beeper;16
16;lknpc16;FD0F0216;Combination DisposableBeeper;17
17;lknpc17;FD0F0217;Combination Beeper;18
18;lknpc18;FD0F0218;Expensive Consumable Merchant Beeper;19
19;lknpc19;FD0F0219;Expensive Consumable Merchant Beeper;20
20;lknpc20;FD0F0220;Expensive Consumable Merchant Beeper;21
21;lknpc21;FD0F0221;Unit Merchant Beeper;22
