Index;Server Code;Client Code;English Name;Image ID
0;ipbhp01;C1070F01;Bless HP Potion 100;1
1;ipbhp02;C1070F02;Bless HP Potion 250;2
2;ipbhp03;C1070F03;Bless HP Potion 500;3
3;ipbhp04;C1070F04;Bless HP Potion 1000;4
4;ipbhp05;C1070F05;Bless HP Potion 2000;5
5;ipbhp06;C1070F06;Bless HP Potion 3000;6
6;ipbhp07;C1070F07;Bless HP Potion 4000;7
7;ipbhp08;C1070F08;Bless HP Potion 5000;8
8;ipchp01;C2070F01;Pope HP Potion 100;9
9;ipchp02;C2070F02;Pope HP Potion 250;10
10;ipchp03;C2070F03;Pope HP Potion 500;11
11;ipchp04;C2070F04;Pope HP Potion 1000;12
12;ipchp05;C2070F05;Pope HP Potion 2000;13
13;ipchp06;C2070F06;Pope HP Potion 3000;14
14;ipchp07;C2070F07;Pope HP Potion 4000;15
15;ipchp08;C2070F08;Pope HP Potion 5000;16
16;ipahp01;C0070F01;Aid HP Charger 100;17
17;ipahp02;C0070F02;Aid HP Charger 250;18
18;ipahp03;C0070F03;Aid HP Charger 500;19
19;ipahp04;C0070F04;Aid HP Charger 1000;20
20;ipahp05;C0070F05;Aid HP Charger 2000;21
21;ipahp06;C0070F06;Aid HP Charger 3000;22
22;ipahp07;C0070F07;Aid HP Charger 4000;23
23;ipahp08;C0070F08;Aid HP Charger 5000;24
24;ipbfp01;C1050F01;Aid FP Potion 50;25
25;ipbfp02;C1050F02;Aid FP Potion 125;26
26;ipbfp03;C1050F03;Aid FP Potion 250;27
27;ipbfp04;C1050F04;Aid FP Potion 500;28
28;ipbfp05;C1050F05;Aid FP Potion 1000;29
29;ipbfp06;C1050F06;Aid FP Potion 1500;30
30;ipbfp07;C1050F07;Aid FP Potion 2000;31
31;ipbfp08;C1050F08;Aid FP Potion 2500;32
32;ipcfp01;C2050F01;Priest FP Potion 50;33
33;ipcfp02;C2050F02;Priest FP Potion 125;34
34;ipcfp03;C2050F03;Priest FP Potion 250;35
