Index;Server Code;Client Code;English Name;Image ID
0;irriu01;D1081401;Fetalium;1
1;irriu02;D1081402;Lutalium;2
2;irriu03;D1081403;Ostalium;3
3;irriu04;D1081404;Haitalium;4
4;irriu05;D1081405;Firstalium;5
5;irrio01;D1080E01;Cotalrio;6
6;irrio02;D1080E02;Lotalrio;7
7;irrio03;D1080E03;Iritalrio;8
8;irrio04;D1080E04;Metalrio;9
9;irrio05;D1080E05;Utalrio;10
10;irrus01;D1141201;Baytalrous;11
11;irrus02;D1141202;Niotalrous;12
12;irrus03;D1141203;Teitalrous;13
13;irrus04;D1141204;Dutalrous;14
14;irrus05;D1141205;Protalrous;15
15;irria01;D1080001;Crotalian;16
16;irria02;D1080002;Motalian;17
17;irria03;D1080003;Tutalian;18
18;irria04;D1080004;Setalian;19
19;irria05;D1080005;Newtalian;20
20;irtal01;D3000B01;Keen Talic;21
21;irtal02;D3000B02;Destruction Talic;22
22;irtal03;D3000B03;Darkness Talic;23
23;irtal04;D3000B04;Chaos Talic;24
24;irtal05;D3000B05;Hatred Talic;25
25;irtal06;D3000B06;Favor Talic;26
26;irtal07;D3000B07;Wisdom Talic;27
27;irtal08;D3000B08;SacredFire Talic;28
28;irtal09;D3000B09;Belief Talic;29
29;irtal10;D3000B10;Guard Talic;30
30;irtal11;D3000B11;Glory Talic;31
31;irtal12;D3000B12;Grace Talic;32
32;irtal13;D3000B13;Mercy Talic;33
33;irtal14;D3000B14;Restoration Talic;34
34;irgef01;C6040501;Ruby;35
35;irgef02;C6040502;Light Ruby;36
36;irgef03;C6040503;Fire Ruby;37
37;irgea01;C6040001;Crystal;38
38;irgea02;C6040002;Water Crystal;39
39;irgea03;C6040003;Ice Crystal;40
40;irget01;C6041301;Topaz;41
41;irget02;C6041302;Terra Topaz;42
42;irget03;C6041303;Poison Topaz;43
43;irgew01;C6041601;Obsidian;44
44;irgew02;C6041602;Lightning Obsidian;45
45;irgew03;C6041603;Wind Obsidian;46
46;irjad01;C9000301;Lucky Jade;47
47;irjad02;C9000302;Promise Jade;48
48;irjad03;C9000303;Wealth Jade;49
49;irjad04;C9000304;Talk Jade;50
50;irjad05;C9000305;Separation Jade;51
51;irebl01;C4010B01;Black ExcelSiar Piece;52
52;irere01;C4110401;Red ExcelSiar Piece;53
53;irebu01;C4011401;Blue ExcelSiar Piece;54
54;iregr01;C4061101;Green ExcelSiar Piece;55
55;ireyl01;C4180B01;Yellow ExcelSiar Piece;56
56;irepu01;C40F1401;Purple ExcelSiar Piece;57
57;irewh01;C4160701;White ExcelSiar Piece;58
58;irebw01;C4011601;Brown ExcelSiar Piece;59
59;ireol01;C40E0B01;Olive ExcelSiar Piece;60
60;irena01;C40D0001;Navy ExcelSiar Piece;61
61;irchr01;C2071101;Christmas JadeOfWealth;62
62;irchr02;C2071102;Christmas JadeOfSecession;63
63;irval01;D5000B01;Flowers;64
64;irgef04;C6040504;Salamander Ruby;65
65;irgea04;C6040004;Angel Crystal;66
66;irget04;C6041304;Elemental Topaz;67
67;irgew04;C6041604;Truth Obsidian;68
68;ircsa01;C2120001;Lucky Ruby;69
69;ircsa02;C2120002;Lucky Crystal;70
70;ircsa03;C2120003;Lucky Topaz;71
71;ircsa04;C2120004;Lucky Obsidian;72
72;irres01;D1041201;Red Stone;75
73;ircsa05;C2120005;Abundance Jade 24Hrs;73
74;ircsa06;C2120006;Abundance Jade 144Hrs;73
75;ircsa07;C2120007;Abundance Jade 336Hrs;73
76;ircsa08;C2120008;Abundance Jade 720Hrs;73
77;ircsa09;C2120009;Relief Jade 24Hrs;74
78;ircsa10;C2120010;Relief Jade 144Hrs;74
79;ircsa11;C2120011;Relief Jade 336Hrs;74
80;ircsa12;C2120012;Relief Jade 720Hrs;74
81;ircht01;C2071301;Blue Powder;77
82;irbls01;C10B1201;Blue Stone;76
83;irskl01;D20A0B01;Ard-Rune Stone;79
84;irevn01;C4150D01;Jade of Relief[Event];78
85;irmap01;CC000F01;Black Sparking Stone;80
