Index;Server Code;Client Code;English Name;Image ID
0;iibba01;C1010001;Fire Parsal WristletA;61
1;iibba02;C1010002;Fire Parsal WristletB;61
2;iibba03;C1010003;Fire Parsal WristletC;61
3;iibba04;C1010004;Fire Parsal WristletD;61
4;iibba05;C1010005;Fire Parsal WristletE;61
5;iibba06;C1010006;Fire Parsal WristletF;61
6;iibba07;C1010007;Fire Parsal WristletG;61
7;iibba08;C1010008;Aqua Parsal WristletA;62
8;iibba09;C1010009;Aqua Parsal WristletA;62
9;iibba10;C1010010;Aqua Parsal WristletB;62
10;iibba11;C1010011;Aqua Parsal WristletC;62
11;iibba12;C1010012;Aqua Parsal WristletD;62
12;iibba13;C1010013;Aqua Parsal WristletE;62
13;iibba14;C1010014;Aqua Parsal WristletF;62
14;iibba15;C1010015;Tera Parsal WristletA;63
15;iibba16;C1010016;Tera Parsal WristletB;63
16;iibba17;C1010017;Tera Parsal WristletC;63
17;iibba18;C1010018;Tera Parsal WristletD;63
18;iibba19;C1010019;Tera Parsal WristletE;63
19;iibba20;C1010020;Tera Parsal WristletF;63
20;iibba21;C1010021;Tera Parsal WristletG;63
21;iibba22;C1010022;Wind Parsal WristletA;64
22;iibba23;C1010023;Wind Parsal WristletB;64
23;iibba24;C1010024;Wind Parsal WristletC;64
24;iibba25;C1010025;Wind Parsal WristletD;64
25;iibba26;C1010026;Wind Parsal WristletE;64
26;iibba27;C1010027;Wind Parsal WristletF;64
27;iibba28;C1010028;Wind Parsal WristletG;64
28;iibba29;C1010029;Aqua Spirit WristletA;66
29;iibba30;C1010030;Aqua Spirit WristletB;66
30;iibba31;C1010031;Aqua Spirit WristletC;66
31;iibba32;C1010032;Aqua Spirit WristletD;66
32;iibba33;C1010033;Aqua Spirit WristletE;66
33;iibba34;C1010034;Aqua Spirit WristletF;66
34;iibba35;C1010035;Aqua Spirit WristletG;66
35;iibba36;C1010036;Aqua Mind WristletA;70
36;iibba37;C1010037;Aqua Mind WristletB;70
37;iibba38;C1010038;Aqua Mind WristletC;70
38;iibba39;C1010039;Aqua Mind WristletD;70
39;iibba40;C1010040;Aqua Mind WristletE;70
40;iibba41;C1010041;Aqua Mind WristletF;70
41;iibba42;C1010042;Aqua Mind WristletG;70
42;iibba43;C1010043;Fire Mind WristletA;69
43;iibba44;C1010044;Fire Mind WristletB;69
44;iibba45;C1010045;Fire Mind WristletC;69
45;iibba46;C1010046;Fire Mind WristletD;69
46;iibba47;C1010047;Fire Mind WristletE;69
47;iibba48;C1010048;Fire Mind WristletF;69
48;iibba49;C1010049;Fire Mind WristletG;69
49;iibba50;C1010050;Aqua Ell WristletA;78
50;iibba51;C1010051;Aqua Ell WristletB;78
51;iibba52;C1010052;Aqua Ell WristletC;78
52;iibba53;C1010053;Aqua Ell WristletD;78
53;iibba54;C1010054;Aqua Ell WristletE;78
54;iibba55;C1010055;Aqua Ell WristletF;78
55;iibba56;C1010056;Aqua Ell WristletG;78
56;iibba57;C1010057;Elemental Parsal Wristlet;77
57;iibba58;C1010058;Elemental Parsal Wristlet;78
58;iibba59;C1010059;Elemental Parsal Wristlet;79
59;iibba60;C1010060;Elemental Parsal Wristlet;80
60;iibba61;C1010061;Elemental Parsal Wristlet;77
61;iibba62;C1010062;Elemental Parsal Wristlet;78
62;iibba63;C1010063;Elemental Parsal Wristlet;79
63;iibba64;C1010064;Elemental Parsal Wristlet;80
64;iibba65;C1010065;Elemental Spirit Wristlet;77
65;iibba66;C1010066;Elemental Spirit Wristlet;78
66;iibba67;C1010067;Elemental Spirit Wristlet;79
67;iibba68;C1010068;Elemental Spirit Wristlet;80
68;iibba69;C1010069;Elemental Spirit Wristlet;77
69;iibba70;C1010070;Elemental Spirit Wristlet;78
70;iibba71;C1010071;Elemental Spirit Wristlet;79
71;iibba72;C1010072;Elemental Spirit Wristlet;80
72;iibba73;C1010073;Elemental Mind Wristlet;77
73;iibba74;C1010074;Elemental Mind Wristlet;78
74;iibba75;C1010075;Elemental Mind Wristlet;79
75;iibba76;C1010076;Elemental Mind Wristlet;80
76;iibba77;C1010077;Elemental Mind Wristlet;77
77;iibba78;C1010078;Elemental Mind Wristlet;78
78;iibba79;C1010079;Elemental Mind Wristlet;79
79;iibba80;C1010080;Elemental Mind Wristlet;80
80;iibba81;C1010081;Elemental Ell Wristlet;77
81;iibba82;C1010082;Elemental Ell Wristlet;78
82;iibba83;C1010083;Elemental Ell Wristlet;79
83;iibba84;C1010084;Elemental Ell Wristlet;80
84;iibba85;C1010085;Elemental Ell Wristlet;77
85;iibba86;C1010086;Elemental Ell Wristlet;78
86;iibba87;C1010087;Elemental Ell Wristlet;79
87;iibba88;C1010088;Elemental Ell Wristlet;80
88;iibba89;C1010089;Elemental Tomb LisletA;77
89;iibba90;C1010090;Elemental Tomb LisletB;78
90;iibba91;C1010091;Elemental Tomb LisletC;79
91;iibba92;C1010092;Elemental Tomb LisletD;80
92;iibba93;C1010093;Elemental Tomb LisletE;77
93;iibba94;C1010094;Elemental Tomb LisletF;78
94;iibba95;C1010095;Elemental Tomb LisletG;79
95;iibba96;C1010096;Elemental Tomb LisletH;80
96;iibba97;C1010097;Bellato Wristlet97;143
97;iibba98;C1010098;Bellato Wristlet98;144
98;iibba99;C1010099;Bellato Wristlet99;145
99;iibbb01;C1010101;Bellato Wristlet100;0
100;iibbb02;C1010102;Bellato Wristlet101;0
101;iibbb03;C1010103;Bellato Wristlet102;0
