Index;Server Code;Client Code;English Name;Image ID
0;idbca04;C1020004;Round Shield;1
1;idbcb04;C1020104;Intense Round Shield;1
2;idbcc04;C1020204;Shield1C;1
3;idbcd04;C1020304;Shield1D;1
4;idbca07;C1020007;Buckler;2
5;idbcb07;C1020107;Intense Buckler;2
6;idbcc07;C1020207;Shield2C;2
7;idbcd07;C1020307;Shield2D;2
8;idbca10;C1020010;Targe;3
9;idbcb10;C1020110;Intense Targe;3
10;idbcc10;C1020210;Shield3C;3
11;idbcd10;C1020310;Shield3D;3
12;idbca13;C1020013;Large Shield;4
13;idbcb13;C1020113;Intense Large Shield;4
14;idbcc13;C1020213;Shield4C;4
15;idbcd13;C1020313;Shield4D;4
16;idbca16;C1020016;Kite Shield;5
17;idbcb16;C1020116;Intense Kite Shield;5
18;idbcc16;C1020216;Shield5C;5
19;idbcd16;C1020316;Shield5D;5
20;idbca19;C1020019;Defender;6
21;idbcb19;C1020119;Intense Defender;6
22;idbcc19;C1020219;Shield6C;6
23;idbcd19;C1020319;Shield6D;6
24;idbca21;C1020021;Tower Shield;7
25;idbcb21;C1020121;Intense Tower Shield;7
26;idbcc21;C1020221;Shield7C;7
27;idbcd21;C1020321;Shield7D;7
28;idbca23;C1020023;Scutum;8
29;idbcb23;C1020123;Intense Scutum;8
30;idbcc23;C1020223;Shield8C;8
31;idbcd23;C1020323;Shield8D;8
32;idbca25;C1020025;Aspis;9
33;idbcb25;C1020125;Intense Aspis;9
34;idbcc25;C1020225;Shield9C;9
35;idbcd25;C1020325;Shield9D;9
36;idbca27;C1020027;Beam Shield;10
37;idbcb27;C1020127;Intense Beam Shield;10
38;idbcc27;C1020227;Shield10C;10
39;idbcd27;C1020327;Shield10D;10
40;idbca29;C1020029;Beam Large Shield;11
41;idbcb29;C1020129;Intense Beam Large Shield;11
42;idbcc29;C1020229;Shield11C;11
43;idbcd29;C1020329;Shield11D;11
44;idbca31;C1020031;Scale Shield;12
45;idbcb31;C1020131;Intense Scale Shield;12
46;idbcc31;C1020231;Shield12C;12
47;idbcd31;C1020331;Shield12D;12
48;idbca33;C1020033;Rondache;13
49;idbcb33;C1020133;Intense Rondache;13
50;idbcc33;C1020233;Shield13C;13
51;idbcd33;C1020333;Shield13D;13
52;idbca35;C1020035;Hopron;14
53;idbcb35;C1020135;Intense Hopron;14
54;idbcc35;C1020235;Shield14C;14
55;idbcd35;C1020335;Shield14D;14
56;idbca37;C1020037;Mirror Shield;15
57;idbcb37;C1020137;Intense Mirror Shield;15
58;idbcc37;C1020237;Shield15C;15
59;idbcd37;C1020337;Shield15D;15
60;idbca39;C1020039;Gothic Shield;16
61;idbcb39;C1020139;Intense Gothic Shield;16
62;idbcc39;C1020239;Shield16C;16
63;idbcd39;C1020339;Shield16D;16
64;idbca41;C1020041;Parvise Shield;17
65;idbcb41;C1020141;Intense Parvise Shield;17
66;idbcc41;C1020241;Shield17C;17
67;idbcd41;C1020341;Shield17D;17
68;idbca43;C1020043;Adarga;18
69;idbcb43;C1020143;Intense Adarga;18
70;idbcc43;C1020243;Shield18C;18
71;idbcd43;C1020343;Shield18D;18
72;idbca45;C1020045;Beam Parvise Shield;19
73;idbcb45;C1020145;Intense Beam Parvise Shield;19
74;idbcc45;C1020245;Shield19C;19
75;idbcd45;C1020345;Shield19D;19
76;idbca47;C1020047;Heater Shield;20
77;idbcb47;C1020147;Intense Heater Shield;20
78;idbcc47;C1020247;Shield20C;20
79;idbcd47;C1020347;Shield20D;20
80;idbca50;C1020050;Hora Shield;21
81;idbcb50;C1020150;Intense Hora Shield;21
82;idbcc50;C1020250;Shield21C;21
83;idbcd50;C1020350;Shield21D;21
84;idaaa04;C0000004;Solid Shield;22
85;idaab04;C0000104;Intense Solid Shield;22
86;idaac04;C0000204;Shield1C;22
87;idaad04;C0000304;Shield1D;22
88;idaaa07;C0000007;Cross Shield;23
89;idaab07;C0000107;Intense Cross Shield;23
90;idaac07;C0000207;Shield2C;23
91;idaad07;C0000307;Shield2D;23
92;idaaa10;C0000010;Protector;24
93;idaab10;C0000110;Intense Protector;24
94;idaac10;C0000210;Shield3C;24
95;idaad10;C0000310;Shield3D;24
96;idaaa13;C0000013;Spacer;25
97;idaab13;C0000113;Intense Spacer;25
98;idaac13;C0000213;Shield4C;25
99;idaad13;C0000313;Shield4D;25
100;idaaa16;C0000016;So Protector;26
101;idaab16;C0000116;Intense So Protector;26
102;idaac16;C0000216;Shield5C;26
103;idaad16;C0000316;Shield5D;26
104;idaaa19;C0000019;Pierce Protector;27
105;idaab19;C0000119;Intense Pierce Protector;27
106;idaac19;C0000219;Shield6C;27
107;idaad19;C0000319;Shield6D;27
108;idaaa21;C0000021;Lapith Protector;28
109;idaab21;C0000121;Intense Lapith Protector;28
110;idaac21;C0000221;Shield7C;28
111;idaad21;C0000321;Shield7D;28
112;idaaa23;C0000023;Cerato Protector;29
113;idaab23;C0000123;Intense Cerato Protector;29
114;idaac23;C0000223;Shield8C;29
115;idaad23;C0000323;Shield8D;29
116;idaaa25;C0000025;Laser Aspis;30
117;idaab25;C0000125;Intense Laser Aspis;30
118;idaac25;C0000225;Shield9C;30
119;idaad25;C0000325;Shield9D;30
120;idaaa27;C0000027;Tower Protector;31
121;idaab27;C0000127;Intense Tower Protector;31
122;idaac27;C0000227;Shield10C;31
123;idaad27;C0000327;Shield10D;31
124;idaaa29;C0000029;Dual Protector;32
125;idaab29;C0000129;Intense Dual Protector;32
126;idaac29;C0000229;Shield11C;32
127;idaad29;C0000329;Shield11D;32
128;idaaa31;C0000031;Shadow Protector;33
129;idaab31;C0000131;Intense Shadow Protector;33
130;idaac31;C0000231;Shield12C;33
131;idaad31;C0000331;Shield12D;33
132;idaaa33;C0000033;Beam Protector;34
133;idaab33;C0000133;Intense Beam Protector;34
134;idaac33;C0000233;Shield13C;34
135;idaad33;C0000333;Shield13D;34
136;idaaa35;C0000035;Large Protector;35
137;idaab35;C0000135;Intense Large Protector;35
138;idaac35;C0000235;Shield14C;35
139;idaad35;C0000335;Shield14D;35
140;idaaa37;C0000037;Crystal Protector;36
141;idaab37;C0000137;Intense Crystal Protector;36
142;idaac37;C0000237;Shield15C;36
143;idaad37;C0000337;Shield15D;36
144;idaaa39;C0000039;Round Protector;37
145;idaab39;C0000139;Intense Round Protector;37
146;idaac39;C0000239;Shield16C;37
147;idaad39;C0000339;Shield16D;37
148;idaaa41;C0000041;Beam Cross Protector;38
149;idaab41;C0000141;Intense Beam Cross Protector;38
150;idaac41;C0000241;Shield17C;38
151;idaad41;C0000341;Shield17D;38
152;idaaa43;C0000043;Beam Round Protector;39
153;idaab43;C0000143;Intense Beam Round Protector;39
154;idaac43;C0000243;Shield18C;39
155;idaad43;C0000343;Shield18D;39
156;idaaa45;C0000045;Golden Protector;40
157;idaab45;C0000145;Intense Golden Protector;40
158;idaac45;C0000245;Shield19C;40
159;idaad45;C0000345;Shield19D;40
160;idaaa47;C0000047;Sic Protector;41
161;idaab47;C0000147;Intense Sic Protector;41
162;idaac47;C0000247;Shield20C;41
163;idaad47;C0000347;Shield20D;41
164;idaaa50;C0000050;Platium Protector;42
165;idaab50;C0000150;Intense Platium Protector;42
166;idaac50;C0000250;Shield21C;42
167;idaad50;C0000350;Shield21D;42
168;idbha04;C1070004;Advanced Strength Round Shield;1
169;idbhb04;C1070104;Saving Round Shield;1
170;idbhc04;C1070204;Fine Round Shield;1
171;idbhd04;C1070304;Anti Sharp Round Shield;1
172;idbhe04;C1070404;Strong Round Shield;1
173;idbhf04;C1070504;Solid Round Shield;1
174;idbhg04;C1070604;Strength Round Shield;1
175;idbhh04;C1070704;Protection Round Shield;1
176;idbhi04;C1070804;Vampire Round Shield;1
177;idbhj04;C1070904;Guardian Round Shield;1
178;idbhk04;C1070A04;Sharp Round Shield;1
179;idbhl04;C1070B04;Grand Round Shield;1
180;idbha07;C1070007;Advanced Strength Buckler;2
181;idbhb07;C1070107;Saving Buckler;2
