Index;Server Code;Client Code;English Name;Image ID
0;isdbf01;C3010501;Default Bellato Male Shoes1;0
1;isdbf02;C3010502;Default Bellato Male Shoes2;0
2;isdbf03;C3010503;Default Bellato Male Shoes3;0
3;isdbf04;C3010504;Default Bellato Male Shoes4;0
4;isdbf05;C3010505;Default Bellato Male Shoes5;0
5;isdbf06;C3010506;Default Bellato Male Shoes6;0
6;isdbf07;C3010507;Default Bellato Male Shoes7;0
7;isdbf08;C3010508;Default Bellato Male Shoes8;0
8;isdbf09;C3010509;Default Bellato Male Shoes9;0
9;isdbf10;C3010510;Default Bellato Male Shoes10;0
10;isdbf11;C3010511;Default Bellato Male Shoes11;0
11;isdbf12;C3010512;Default Bellato Male Shoes12;0
12;isdbf13;C3010513;Default Bellato Male Shoes13;0
13;isdbf14;C3010514;Default Bellato Male Shoes14;0
14;isdbf15;C3010515;Default Bellato Male Shoes15;0
15;isdbf16;C3010516;Default Bellato Male Shoes16;0
16;isdbm01;C3010C01;Default Bellato Female Shoes1;0
17;isdbm02;C3010C02;Default Bellato Female Shoes2;0
18;isdbm03;C3010C03;Default Bellato Female Shoes3;0
19;isdbm04;C3010C04;Default Bellato Female Shoes4;0
20;isdbm05;C3010C05;Default Bellato Female Shoes5;0
21;isdbm06;C3010C06;Default Bellato Female Shoes6;0
22;isdbm07;C3010C07;Default Bellato Female Shoes7;0
23;isdbm08;C3010C08;Default Bellato Female Shoes8;0
24;isdbm09;C3010C09;Default Bellato Female Shoes9;0
25;isdbm10;C3010C10;Default Bellato Female Shoes10;0
26;isdbm11;C3010C11;Default Bellato Female Shoes11;0
27;isdbm12;C3010C12;Default Bellato Female Shoes12;0
28;isdbm13;C3010C13;Default Bellato Female Shoes13;0
29;isdbm14;C3010C14;Default Bellato Female Shoes14;0
30;isdbm15;C3010C15;Default Bellato Female Shoes15;0
31;isdbm16;C3010C16;Default Bellato Female Shoes16;0
32;isdcf01;C3020501;Default Bellato Male Shoes1;0
33;isdcf02;C3020502;Default Bellato Male Shoes2;0
34;isdcf03;C3020503;Default Bellato Male Shoes3;0
35;isdcf04;C3020504;Default Bellato Male Shoes4;0
36;isdcf05;C3020505;Default Bellato Male Shoes5;0
