Index;Server Code;Client Code;English Name;Image ID
0;sklu001;6B140100;Siege Kit;1
1;sklu002;6B140200;Advanced Siege Kit;1
2;sklu003;6B140300;Attack Epochal Siege Kit;4
3;sklu004;6B140400;Defence Epochal Siege Kit;4
4;sklu005;6B140500;Sniper Lecas Siege Kit;5
5;sklu006;6B140600;Siege Kit;1
6;sklu007;6B140700;Shining Siege Kit;6
7;sklu008;6B140800;Advanced Shining Siege Kit;6
8;sklu009;6B140900;Siege Kit;1
9;sklu010;6B141000;Siege Kit;1
10;sklu011;6B141100;Siege Kit;1
11;sklu012;6B141200;Advanced Siege Kit;1
12;sklu013;6B141300;Attack Epochal ThrowerSiege Kit;4
13;sklu014;6B141400;Defence Epochal ThrowerSiege Kit;4
14;sklu015;6B141500;Fire Lecas Siege Kit;5
15;sklu016;6B141600;Fire Shining Siege Kit;6
16;sklu017;6B141700;Advanced Fire Shining Siege Kit;6
17;sklu018;6B141800;Siege Kit;1
18;sklu019;6B141900;Siege Kit;1
19;sklu020;6B142000;Siege Kit;1
20;sklu021;6B142100;Siege Kit;1
21;sklu022;6B142200;Siege Kit;1
22;sklu023;6B142300;Siege Kit;1
23;sklu024;6B142400;Siege Kit;1
24;sklu025;6B142500;Siege Kit;1
25;sklu026;6B142600;Siege Kit;1
26;sklu027;6B142700;Siege Kit;1
27;sklu028;6B142800;Siege Kit;1
28;sklu029;6B142900;Siege Kit;1
29;sklu030;6B143000;Siege Kit;1
30;skbal01;61000B01;World Cup Event Ball;2
