Index;Server Code;Client Code;English Name;Image ID
0;tr00001;71000000;Blasting Powder;1
1;tr00002;72000000;Advanced Blasting Powder;1
2;tr00003;73000000;Epochal Blasting Powder;1
3;tr00004;74000000;Ankle Mine Against Humans;1
4;tr00005;75000000;Booby Trap;1
5;tr00006;76000000;Plasma Mine;1
6;tr00007;77000000;Advanced Plasma Mine;1
7;tr00008;78000000;Flare Trap;1
8;tr00009;79000000;Advanced Flare Trap;1
9;tr00010;80000000;Nuclear Mine;1
10;tr00011;81000000;Fire Mine;2
11;tr00012;82000000;BoobyTrap T1;1
12;tr00013;83000000;BoobyTrap T2;1
13;tr00014;84000000;Plasma Mine T1;1
14;tr00015;85000000;Plasma Mine T2;1
15;tr00016;86000000;Advanced Plasma Mine T1;1
16;tr00017;87000000;Advanced Plasma Mine T2;1
17;tr00018;88000000;Advanced Nuclear Mine;1
18;tr00019;89000000;Trap;2
19;tr00020;90000000;Trap;2
20;tr00021;91000000;Aqua Mine;3
21;tr00022;92000000;Trap;3
22;tr00023;93000000;Trap;3
23;tr00024;94000000;Trap;3
24;tr00025;95000000;Trap;3
25;tr00026;96000000;Trap;3
26;tr00027;97000000;Trap;3
27;tr00028;98000000;Trap;3
28;tr00029;99000000;Trap;3
29;tr00030;A0000000;Trap;3
30;tr00031;A1000000;Tera Mine;4
31;tr00032;A2000000;Trap;4
32;tr00033;A3000000;Trap;4
33;tr00034;A4000000;Trap;4
34;tr00035;A5000000;Trap;4
35;tr00036;A6000000;Trap;4
36;tr00037;A7000000;Trap;4
37;tr00038;A8000000;Trap;4
38;tr00039;A9000000;Trap;4
39;tr00040;B0000000;Trap;4
40;tr00041;B1000000;Wind Mine;5
41;tr00042;B2000000;Trap;5
42;tr00043;B3000000;Trap;5
43;tr00044;B4000000;Trap;5
44;tr00045;B5000000;Trap;5
45;tr00046;B6000000;Trap;5
46;tr00047;B7000000;Trap;5
47;tr00048;B8000000;Trap;5
48;tr00049;B9000000;Trap;5
49;tr00050;C0000000;Trap;5
50;trnew00;7D041600;Nuclear Controller;6
51;trnew01;7D041601;Nuclear Controller;7
52;trnew02;7D041602;Nuclear Controller;8
