Index;Server Code;Client Code;English Name
0;unsg000;92060000;Shoulder Adaptor
1;unsh001;92070100;Curve Web Missile
2;unsh002;92070200;
3;unsh003;92070300;
4;unsh004;92070400;
5;unsh005;92070500;
6;unsh006;92070600;
7;unsh007;92070700;
8;unsh008;92070800;
9;unsh009;92070900;
10;unsh010;92071000;Type C Missile Port
11;unsh011;92071100;
12;unsh012;92071200;
13;unsh013;92071300;DType Missile Port
14;unsh014;92071400;ASS Missile Port
15;unsh015;92071500;Venom Missile Port
16;unsh016;92071600;Mirage Missile Port
17;unsh017;92071700;
18;unsh018;92071800;
19;unsh019;92071900;
20;unsh020;92072000;
21;unsc000;92020000;Shoulder Adaptor
22;unsh021;92072100;Multi Missile
23;unsh022;92072200;
24;unsh023;92072300;
25;unsh024;92072400;
26;unsh025;92072500;
27;unsh026;92072600;
28;unsh027;92072700;
29;unsh028;92072800;
30;unsh029;92072900;
31;unsh030;92073000;Type C Missile Port
32;unsh031;92073100;
33;unsh032;92073200;
34;unsh033;92073300;DType Missile Port
35;unsh034;92073400;SSA Missile Port
36;unsh035;92073500;Alter Port
37;unsh036;92073600;Irregular Port
38;unsh037;92073700;
39;unsh038;92073800;
40;unsh039;92073900;
41;unsh040;92074000;
42;unse000;92040000;
43;unsh041;92074100;
44;unsh042;92074200;
45;unsh043;92074300;
46;unsh044;92074400;
47;unsh045;92074500;
48;unsh046;92074600;
49;unsh047;92074700;
50;unsh048;92074800;
51;unsh049;92074900;
52;unsh050;92075000;
53;unsh051;92075100;
54;unsh052;92075200;
55;unsh053;92075300;
56;unsh054;92075400;
57;unsh055;92075500;
58;unsh056;92075600;
59;unsh057;92075700;
60;unsh058;92075800;
61;unsh059;92075900;
62;unsh060;92076000;
63;unsn000;920D0000;
64;unsh061;92076100;
65;unsh062;92076200;
66;unsh063;92076300;
67;unsh064;92076400;
68;unsh065;92076500;
69;unsh066;92076600;
70;unsh067;92076700;
71;unsh068;92076800;
72;unsh069;92076900;
73;unsh070;92077000;
74;unsh071;92077100;
75;unsh072;92077200;
76;unsh073;92077300;
77;unsh074;92077400;
78;unsh075;92077500;
79;unsh076;92077600;
80;unsh077;92077700;
81;unsh078;92077800;
82;unsh079;92077900;
83;unsh080;92078000;
