Index;Server Code;Client Code;English Name
0;unup001;940F0100;Pressed Armor
1;unup002;940F0200;
2;unup003;940F0300;
3;unup004;940F0400;Advance Pressed Armor
4;unup005;940F0500;F.Coating Protect
5;unup006;940F0600;Annex Hard Armor
6;unup007;940F0700;
7;unup008;940F0800;
8;unup009;940F0900;
9;unup010;940F1000;Heavy Duty Armor
10;unup011;940F1100;
11;unup012;940F1200;F.Reflect Protect
12;unup013;940F1300;HA Gigant Body
13;unup014;940F1400;T R O S Protect
14;unup015;940F1500;A R E S Protect
15;unup016;940F1600;Peace Keeper Protect Core
16;unup017;940F1700;Guardian Protect Core
17;unup018;940F1800;AA01 Titan Core
18;unup019;940F1900;Venom Core
19;unup020;940F2000;Mirage Core
20;unup021;940F2100;Normal Armor
21;unup022;940F2200;
22;unup023;940F2300;
23;unup024;940F2400;Heavy Catapult Armor
24;unup025;940F2500;Slender Armor
25;unup026;940F2600;High Density Armor
26;unup027;940F2700;High Density Slender Armor
27;unup028;940F2800;
28;unup029;940F2900;
29;unup030;940F3000;Stock Frame Armor
30;unup031;940F3100;
31;unup032;940F3200;High Density Armor
32;unup033;940F3300;HA Siege Armor
33;unup034;940F3400;VR Strike Armor
34;unup035;940F3500;Artillary Protector
35;unup036;940F3600;AAA Voltage Armor
36;unup037;940F3700;A S Torr Core
37;unup038;940F3800;Judgement Core
38;unup039;940F3900;Alter Core
39;unup040;940F4000;Irregular Core
40;unup041;940F4100;
41;unup042;940F4200;
42;unup043;940F4300;
43;unup044;940F4400;
44;unup045;940F4500;
45;unup046;940F4600;
46;unup047;940F4700;
47;unup048;940F4800;
48;unup049;940F4900;
49;unup050;940F5000;
50;unup051;940F5100;
51;unup052;940F5200;
52;unup053;940F5300;
53;unup054;940F5400;
54;unup055;940F5500;
55;unup056;940F5600;
56;unup057;940F5700;
57;unup058;940F5800;
58;unup059;940F5900;
59;unup060;940F6000;
60;unup061;940F6100;
61;unup062;940F6200;
62;unup063;940F6300;
63;unup064;940F6400;
64;unup065;940F6500;
65;unup066;940F6600;
66;unup067;940F6700;
67;unup068;940F6800;
68;unup069;940F6900;
69;unup070;940F7000;
70;unup071;940F7100;
71;unup072;940F7200;
72;unup073;940F7300;
73;unup074;940F7400;
74;unup075;940F7500;
75;unup076;940F7600;
76;unup077;940F7700;
77;unup078;940F7800;
78;unup079;940F7900;
79;unup080;940F8000;
