Index;Server Code;Client Code;English Name;Image ID
0;iudbf01;C3010501;Default Bellato Male Shirt1;0
1;iudbf02;C3010502;Default Bellato Male Shirt1;0
2;iudbf03;C3010503;Default Bellato Male Shirt3;0
3;iudbf04;C3010504;Default Bellato Male Shirt4;0
4;iudbf05;C3010505;Default Bellato Male Shirt5;0
5;iudbf06;C3010506;Default Bellato Male Shirt6;0
6;iudbf07;C3010507;Default Bellato Male Shirt7;0
7;iudbf08;C3010508;Default Bellato Male Shirt8;0
8;iudbf09;C3010509;Default Bellato Male Shirt9;0
9;iudbf10;C3010510;Default Bellato Male Shirt10;0
10;iudbf11;C3010511;Default Bellato Male Shirt11;0
11;iudbf12;C3010512;Default Bellato Male Shirt12;0
12;iudbf13;C3010513;Default Bellato Male Shirt13;0
13;iudbf14;C3010514;Default Bellato Male Shirt14;0
14;iudbf15;C3010515;Default Bellato Male Shirt15;0
15;iudbf16;C3010516;Default Bellato Male Shirt16;0
16;iudbm01;C3010C01;Default Bellato Female Shirt1;0
17;iudbm02;C3010C02;Default Bellato Female Shirt2;0
18;iudbm03;C3010C03;Default Bellato Female Shirt3;0
19;iudbm04;C3010C04;Default Bellato Female Shirt4;0
20;iudbm05;C3010C05;Default Bellato Female Shirt5;0
21;iudbm06;C3010C06;Default Bellato Female Shirt6;0
22;iudbm07;C3010C07;Default Bellato Female Shirt7;0
23;iudbm08;C3010C08;Default Bellato Female Shirt8;0
24;iudbm09;C3010C09;Default Bellato Female Shirt9;0
25;iudbm10;C3010C10;Default Bellato Female Shirt10;0
26;iudbm11;C3010C11;Default Bellato Female Shirt11;0
27;iudbm12;C3010C12;Default Bellato Female Shirt12;0
28;iudbm13;C3010C13;Default Bellato Female Shirt13;0
29;iudbm14;C3010C14;Default Bellato Female Shirt14;0
30;iudbm15;C3010C15;Default Bellato Female Shirt15;0
31;iudbm16;C3010C16;Default Bellato Female Shirt16;0
32;iudcf01;C3020501;Default Cora male Shirt1;0
33;iudcf02;C3020502;Default Cora male Shirt2;0
34;iudcf03;C3020503;Default Cora male Shirt3;0
35;iudcf04;C3020504;Default Cora male Shirt4;0
36;iudcf05;C3020505;Default Cora male Shirt5;0
37;iudcf06;C3020506;Default Cora male Shirt6;0
38;iudcf07;C3020507;Default Cora male Shirt7;0
39;iudcf08;C3020508;Default Cora male Shirt8;0
40;iudcf09;C3020509;Default Cora male Shirt9;0
41;iudcf10;C3020510;Default Cora male Shirt10;0
42;iudcf11;C3020511;Default Cora male Shirt11;0
43;iudcf12;C3020512;Default Cora male Shirt12;0
44;iudcf13;C3020513;Default Cora male Shirt13;0
45;iudcf14;C3020514;Default Cora male Shirt14;0
46;iudcf15;C3020515;Default Cora male Shirt15;0
47;iudcf16;C3020516;Default Cora male Shirt16;0
48;iudcm01;C3020C01;Default Cora female Shirt1;0
49;iudcm02;C3020C02;Default Cora female Shirt2;0
50;iudcm03;C3020C03;Default Cora female Shirt3;0
51;iudcm04;C3020C04;Default Cora female Shirt4;0
52;iudcm05;C3020C05;Default Cora female Shirt5;0
53;iudcm06;C3020C06;Default Cora female Shirt6;0
54;iudcm07;C3020C07;Default Cora female Shirt7;0
55;iudcm08;C3020C08;Default Cora female Shirt8;0
56;iudcm09;C3020C09;Default Cora female Shirt9;0
57;iudcm10;C3020C10;Default Cora female Shirt10;0
58;iudcm11;C3020C11;Default Cora female Shirt11;0
59;iudcm12;C3020C12;Default Cora female Shirt12;0
60;iudcm13;C3020C13;Default Cora female Shirt13;0
61;iudcm14;C3020C14;Default Cora female Shirt14;0
