Index;Server Code;Client Code;English Name;Image ID
0;iwkna01;CA0D0001;Dagger;1
1;iwknb01;CA0D0101;Intense Dagger;1
2;iwknc01;CA0D0201;Dagger;1
3;iwknd01;CA0D0301;Kamasoon Sword;189
4;iwkna02;CA0D0002;Dirk;2
5;iwknb02;CA0D0102;Intense Dirk;2
6;iwknc02;CA0D0202;Dirk;2
7;iwknz02;CA0D1902;Izen Ritter's Back Blade;207
8;iwkna03;CA0D0003;Kukri;3
9;iwknb03;CA0D0103;Intense Kukri;3
10;iwknc03;CA0D0203;Kukri;3
11;iwknz03;CA0D1903;Izen Ritter's sealed Back Blade;190
12;iwkna04;CA0D0004;Knife4;3
13;iwknb04;CA0D0104;Intense Knife4;3
14;iwknc04;CA0D0204;Knife4;3
15;iwknd04;CA0D0304;Knife4;3
16;iwkna05;CA0D0005;Stick Knife;4
17;iwknb05;CA0D0105;Intense Stick Knife;4
18;iwknc05;CA0D0205;Stick Knife;4
19;iwknd05;CA0D0305;Stick Knife;4
20;iwkna06;CA0D0006;Knife6;4
21;iwknb06;CA0D0106;Intense Knife6;4
22;iwknc06;CA0D0206;Knife6;4
23;iwknd06;CA0D0306;Knife6;4
24;iwkna07;CA0D0007;Blade;5
25;iwknb07;CA0D0107;Intense Blade;5
26;iwknc07;CA0D0207;Blade;5
27;iwknd07;CA0D0307;Blade;5
28;iwkna08;CA0D0008;Knife8;5
29;iwknb08;CA0D0108;Intense Knife8;5
30;iwknc08;CA0D0208;Knife8;5
31;iwknd08;CA0D0308;Knife8;5
32;iwkna09;CA0D0009;Knife9;5
33;iwknb09;CA0D0109;Intense Knife9;5
34;iwknc09;CA0D0209;Knife9;5
35;iwknd09;CA0D0309;Knife9;5
36;iwkna10;CA0D0010;Saber;6
37;iwknb10;CA0D0110;Intense Saber;6
38;iwknc10;CA0D0210;Saber;6
39;iwknd10;CA0D0310;Saber;6
40;iwkna11;CA0D0011;Knife11;6
41;iwknb11;CA0D0111;Intense Knife11;6
42;iwknc11;CA0D0211;Knife11;6
43;iwknd11;CA0D0311;Knife11;6
44;iwkna12;CA0D0012;Shamshir;7
45;iwknb12;CA0D0112;Intense Shamshir;7
46;iwknc12;CA0D0212;Shamshir;7
47;iwknd12;CA0D0312;Shamshir;7
48;iwkna13;CA0D0013;Knife13;7
49;iwknb13;CA0D0113;Intense Knife13;7
50;iwknc13;CA0D0213;Knife13;7
51;iwknd13;CA0D0313;Knife13;7
52;iwkna14;CA0D0014;Knife14;7
53;iwknb14;CA0D0114;Intense Knife14;7
54;iwknc14;CA0D0214;Knife14;7
55;iwknd14;CA0D0314;Knife14;7
56;iwkna15;CA0D0015;Hunting Knife;8
57;iwknb15;CA0D0115;Intense Hunting Knife;8
58;iwknc15;CA0D0215;Hunting Knife;8
59;iwknd15;CA0D0315;Hunting Knife;8
60;iwkna16;CA0D0016;Knife16;8
61;iwknb16;CA0D0116;Intense Knife16;8
62;iwknc16;CA0D0216;Knife16;8
63;iwknd16;CA0D0316;Knife16;8
64;iwkna17;CA0D0017;Knife17;8
65;iwknb17;CA0D0117;Intense Knife17;8
66;iwknc17;CA0D0217;Knife17©;8
67;iwknd17;CA0D0317;Knife17;8
68;iwkna18;CA0D0018;Sosun Patta;9
69;iwknb18;CA0D0118;Intense Sosun Patta;9
70;iwknc18;CA0D0218;Sosun Patta;9
71;iwknd18;CA0D0318;Sosun Patta;9
72;iwkna19;CA0D0019;Knife19;9
73;iwknb19;CA0D0119;Intense Knife19;9
74;iwknc19;CA0D0219;Knife19;9
75;iwknd19;CA0D0319;Knife19;9
76;iwkna20;CA0D0020;Falchion;10
77;iwknb20;CA0D0120;Intense Falchion;10
78;iwknc20;CA0D0220;Falchion;10
79;iwknd20;CA0D0320;Falchion;10
80;iwkna21;CA0D0021;Knife21;10
81;iwknb21;CA0D0121;Intense Knife21;10
82;iwknc21;CA0D0221;Knife21;10
83;iwknd21;CA0D0321;Knife21;10
84;iwkna22;CA0D0022;Katana;11
85;iwknb22;CA0D0122;Intense Katana;11
86;iwknc22;CA0D0222;Katana;11
87;iwknd22;CA0D0322;Katana;11
88;iwkna23;CA0D0023;Knife23;11
89;iwknb23;CA0D0123;Intense Knife23;11
90;iwknc23;CA0D0223;Knife23;11
91;iwknd23;CA0D0323;Knife23;11
92;iwkna24;CA0D0024;Knife24;11
93;iwknb24;CA0D0124;Intense Knife24;11
94;iwknc24;CA0D0224;Knife24;11
95;iwknd24;CA0D0324;Knife24;11
96;iwkna25;CA0D0025;Shotel;12
97;iwknb25;CA0D0125;Intense Shotel;12
98;iwknc25;CA0D0225;Shotel;12
99;iwknd25;CA0D0325;Shotel;12
100;iwkna26;CA0D0026;Knife26;12
101;iwknb26;CA0D0126;Intense Knife26;12
102;iwknc26;CA0D0226;Knife26;12
103;iwknd26;CA0D0326;Knife26;12
104;iwkna27;CA0D0027;Knife27;12
105;iwknb27;CA0D0127;Intense Knife27;12
106;iwknc27;CA0D0227;Knife27;12
107;iwknd27;CA0D0327;Knife27;12
108;iwkna28;CA0D0028;Defender Saber;13
109;iwknb28;CA0D0128;Intense Defender Saber;13
110;iwknc28;CA0D0228;Defender Saber;13
111;iwknd28;CA0D0328;Defender Saber;13
112;iwkna29;CA0D0029;Knife29;13
113;iwknb29;CA0D0129;Intense Knife29;13
114;iwknc29;CA0D0229;Knife29;13
115;iwknd29;CA0D0329;Knife29;13
116;iwkna30;CA0D0030;Beam Saber;14
117;iwknb30;CA0D0130;Intense Beam Saber;14
118;iwknc30;CA0D0230;Beam Saber;14
119;iwknd30;CA0D0330;Beam Saber;14
120;iwkna31;CA0D0031;Knife31;14
121;iwknb31;CA0D0131;Intense Knife31;14
122;iwknc31;CA0D0231;Knife31;14
123;iwknd31;CA0D0331;Knife31;14
124;iwkna32;CA0D0032;Knife32;14
125;iwknb32;CA0D0132;Intense Knife32;14
126;iwknc32;CA0D0232;Knife32;14
